callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.46182,-117.70709
HBAL186,38.99579,-119.21772
HBAL117,39.07679,-120.83844
CONTROL,42.68450,23.40989
HBAL015,39.14997,-111.22205
HBAL074,-2.80312,-41.98472
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81525
YOLSUPUR,40.98270,28.82759
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45008,-73.77684
AFR990,-26.15739,28.24836
AMBI,22.65445,88.44401
HBAL264,-8.53697,-78.98411
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00774,174.79738
F02,41.30357,2.08530
DMGR,31.99483,34.89630
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98060,38.78771
BRD2,32.01500,34.87978
NAVETTE3,46.23218,6.10799
YELLOW3,46.23708,6.11165
DAL476,41.28617,2.07807
V7,52.30722,4.79693
SASTAU1,58.88078,5.62824
MEISTRAS,54.63634,25.28200
FDX96,35.05528,-89.95654
AIR21,25.23568,55.39808
PAPA8,40.48655,-3.58755
DAL55,31.52907,-77.41328
SER354,45.45930,-73.75775
BAW27,22.38515,114.12882
AAL125,21.48926,113.55097
EVA005,30.01131,128.05325
N,45.65182,4.90430
THY24,23.80719,107.42777
TE13,47.46083,8.55728
ETD182,24.45668,54.65199
FM1,32.00509,34.87464
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44619
TU012,47.45423,8.55557
UAE179,48.76123,42.96306
F10,41.29245,2.07841
MAS1,9.77318,96.76601
EVA029,29.05171,126.68420
UAE222,25.80537,55.83226
CAM134,45.46508,-73.75941
AAR221,37.32929,126.54330
CSN399,40.67683,-73.75677
UAL49,50.27791,-66.93353
FDX28,37.71661,-122.22139
DAAOPS2,53.42370,-6.24210
YELLOW7,46.23472,6.11106
KAL082,37.12308,124.60431
UAL83,42.74130,-73.80696
N688ZJ,51.27771,-0.78150
CQH8533,15.56470,108.43279
KAL018,37.07531,127.28160
AIC174,39.17390,65.96317
CPA831,39.87666,114.28671
