callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.45647,-117.70868
HBAL186,38.99350,-119.22656
HBAL117,39.07640,-120.84328
CONTROL,42.68450,23.40989
HBAL015,39.13894,-111.21344
HBAL074,-2.79355,-41.98518
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81523
YOLSUPUR,40.98267,28.82756
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47051,-3.55882
FREN1,40.97193,28.81529
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45933,-73.78219
AMBI,22.65445,88.44402
HBAL264,-8.51363,-78.97890
MT1,-26.13008,28.23547
ELC4,25.26543,55.34585
FOLOWME1,13.20337,77.70560
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00693,174.79781
F02,41.30482,2.08366
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78771
BRD2,32.01432,34.87539
NAVETTE3,46.23218,6.10799
YELLOW3,46.23707,6.11163
DAL476,41.28503,2.07437
V7,52.29727,4.78371
SASTAU1,58.88078,5.62824
MEISTRAS,54.63998,25.28189
FDX96,35.05528,-89.95654
AIR21,25.23414,55.39452
PAPA8,40.48655,-3.58755
DAL55,31.61735,-77.65307
SER354,45.45930,-73.75775
BAW27,22.35585,114.03744
AAL125,21.59486,113.65311
EVA005,29.90155,127.89115
N,45.56612,4.89441
THY24,23.79533,107.67980
TE13,47.46083,8.55728
A6EDW,25.23356,55.39561
ETD182,24.44641,54.65441
FM1,32.00519,34.87442
RA23030,43.45070,39.93543
8Z151,-4.38829,15.44618
TU012,47.45424,8.55557
UAE179,48.99670,42.73870
F10,41.26949,2.08261
MAS1,9.60526,96.91850
EVA029,28.88878,126.46933
UAE222,25.81453,55.93496
CAM134,45.46508,-73.75941
AAR221,37.38450,126.49367
CSN399,40.55105,-73.70247
UAL49,50.07550,-67.15720
FDX28,37.71661,-122.22140
DAAOPS2,53.42266,-6.24573
YELLOW7,46.23471,6.11111
KAL082,37.16722,124.85296
UAL83,42.56021,-73.88761
N688ZJ,51.27771,-0.78150
CQH8533,15.34836,108.35295
KAL018,37.14296,127.07056
AIC174,38.93597,66.08160
CPA831,39.63099,114.39410
