callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.46553,-117.70577
HBAL186,38.99732,-119.21155
HBAL117,39.07669,-120.83459
CONTROL,42.68451,23.40988
HBAL015,39.15322,-111.22467
HBAL074,-2.81053,-41.98481
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43618,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81527
YOLSUPUR,40.98269,28.82759
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47251,-3.55719
FREN1,40.97193,28.81530
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.44987,-73.76592
AFR990,-26.15248,28.25191
AMBI,22.65445,88.44402
HBAL264,-8.53697,-78.98411
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88414,5.62937
ELEC10,25.27142,55.34613
FUEL911,58.88353,5.61777
AP12,-37.00584,174.80463
F02,41.30357,2.08530
DMGR,31.99483,34.89630
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98060,38.78771
HERON1,46.23812,6.11364
BRD2,32.01501,34.88342
NAVETTE3,46.23228,6.10814
YELLOW3,46.23708,6.11164
DAL476,41.28749,2.08156
V7,52.30722,4.79693
SASTAU1,58.88078,5.62824
TJ08,47.45337,8.55706
MEISTRAS,54.63369,25.28250
FDX96,35.05528,-89.95654
AIR21,25.23568,55.39809
PAPA8,40.48655,-3.58741
DAL55,31.46051,-77.22971
SER354,45.45930,-73.75775
BAW27,22.40224,114.20496
HAUKKA1,60.31598,24.90601
AAL125,21.40352,113.46970
EVA005,30.11671,128.21013
N,45.71257,4.91130
THY24,23.81571,107.24102
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.48536,54.60962
MAGELAN4,46.22887,6.10260
FM1,32.00509,34.87464
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45422,8.55557
UAE179,48.64417,43.13775
F10,41.29245,2.07841
MAS1,8.99695,96.11884
EVA029,29.13143,126.80302
UAE222,25.90450,55.86923
CAM134,45.46508,-73.75939
AAR221,37.27773,126.57809
CSN399,40.75951,-73.86189
UAL49,50.41994,-66.77319
FDX28,37.71661,-122.22139
DAAOPS2,53.42368,-6.24205
YELLOW7,46.22972,6.10200
KAL082,37.14532,124.32596
UAL83,42.87983,-73.77607
00000000,48.11799,16.56617
N688ZJ,51.27740,-0.78100
CQH8533,15.71667,108.48864
AIRPORT1,46.22893,6.10397
KAL018,37.03072,127.42397
AIC174,39.35126,65.87433
CPA831,40.05238,114.20943
CLX128,49.61773,6.20139
UAL895,47.60180,115.24491
AIC144,24.58635,74.95524
SIA52,53.36184,-2.28055
AIC126,31.03777,74.96147
SIA31,14.20458,122.85509
CES590,31.14053,121.80067
VPBCB,55.97964,37.39671
AIB244TE,53.53863,9.82250
UAE409,24.00545,57.24462
ACA43,51.16705,-71.56158
UAL179,37.76667,114.75883
CRK350,22.31585,113.92037
SQB02ERA,31.52505,74.39966
BAW33,2.74665,101.71623
AFR274,37.42735,139.93848
CRK081,25.14445,113.83291
CAL5173,26.52621,123.25365
QTR914,-34.93893,138.53905
F08,41.29127,2.07437
ACA031,40.35925,116.22031
GIA088,52.22264,4.56490
FDX41,35.06113,-89.95820
P14,40.50953,-3.57926
AIC102,31.30848,72.20967
CES586,33.11512,123.36777
CES768,36.64090,120.52399
A6EOT,25.23917,55.40045
AAR201,37.42376,126.49366
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.26260,116.64789
CSN432,39.80803,122.38922
TUG2,25.26209,55.36405
AFR393,47.63319,-0.45552
VJT726,42.72665,-73.78905
DLH778,1.82046,104.21552
CCA967,45.84534,9.79074
CCA880,44.66300,124.31680
SIA319,2.96705,101.28239
UAE415,19.60970,69.30901
JAS27,41.94264,-72.67589
TAM8063,-23.20708,-46.27584
CSN330,26.30860,113.68760
SIA325,1.36134,103.98270
AZA680,-27.54636,-50.58227
CPA879,27.52066,128.93829
AFR460,-19.32714,56.74793
DLH510,-24.93929,-52.73153
UAL198,33.33069,129.60500
AAR211,37.24974,126.70304
CKK222,33.44380,129.96140
CPA807,50.81822,116.84828
FWZNF,43.62062,1.36414
DAL159,41.03568,123.74469
AZA688,-23.36364,-55.46916
CES208,47.77857,126.56198
DLH506,-23.46247,-46.57496
UAL853,40.50453,111.95404
DLH511,46.14640,6.23914
ARG1140,5.13624,-22.99264
CES582,31.14675,121.79809
DLH455,52.74380,3.62358
UAL123,54.23529,-17.12127
THA917,13.77068,100.78175
DAL185,33.79948,130.91388
AFR102,23.97899,108.14275
RANGER4,42.68915,23.39982
OH4,52.29919,4.75384
BAW59,-33.96711,18.59734
BAW2063,-20.27802,57.30410
CAL5235,29.44891,127.28368
CHH7962,51.50139,127.66744
CES588,55.91906,127.86147
UPS2,22.29973,113.92126
FDX1977,40.06512,-74.47412
SWR92,-21.86358,-42.77491
UAL857,32.57185,127.59181
DLH520,23.91852,-98.17093
TU014,47.45414,8.55907
DLH730,22.30948,113.92774
CCA818,52.71817,136.29128
CPA3281,22.26356,115.04176
UAE208,33.44344,48.94212
PAL101,14.91645,121.75152
CMP362,20.70676,-97.33774
ST5110,53.63150,9.99899
MSR986,35.40656,26.86546
SWR138,21.66069,113.71679
VIR206,22.31526,113.91137
EVA068,14.15532,100.65105
BAW251,-18.68060,-56.40445
BAW15,13.48714,98.52809
BAW245,-20.54901,-50.52686
FIN81,1.35990,103.98403
CES710,38.10063,112.53654
ZEBRA7,47.45684,8.55242
AMX004,25.50658,-97.61746
SWR178,3.74794,100.63970
CCA982,58.31332,130.00595
IBE6051,-26.14658,28.24996
UAL871,32.15400,131.92186
SIA321,12.39340,99.10506
FMS,52.37068,13.52133
CPA254,22.10641,113.56483
SHT7J,51.64566,-0.30746
AIC191,59.29174,-37.39260
AIC103,66.38625,-62.89968
KLM394,51.79285,4.11022
ETH684,31.15316,121.81174
SVA038,26.63574,36.47754
CSN336,16.39501,117.77870
CHH498,50.04594,127.27928
UAL869,46.79043,115.18390
DAL469,45.22540,-70.40202
AEA039,5.03909,-79.67219
ACA82,31.97343,34.83608
TAM8085,-21.20000,-45.71331
ANA111,52.65710,147.56355
KLM592,52.31503,4.77390
UAL194,48.27411,11.69177
FDX5170,52.05192,17.49157
AFL2450,49.48224,3.92118
FOLLOW1,50.11015,14.26855
CCA988,45.73720,126.63219
THY1RD,45.55225,19.52880
CHH482,58.31045,130.18634
KAL020,37.19244,125.40953
SVA020,27.30728,30.94185
ANZ99,35.77181,140.40218
CPA837,34.54738,136.79755
TAM8101,-23.28645,-46.57084
SWR93,44.33332,6.50364
ROU1955,35.57834,137.78305
VHTGG,-37.09520,146.44862
AMX022,21.26724,-97.29552
AMX008,24.36040,-98.01844
BAW247,-11.74608,-38.41275
JBU894,40.68654,-74.18520
CHH7976,56.06537,127.99819
SAS940,59.65508,17.93343
JAL17,35.77446,140.39238
IBE6833,-14.19266,-52.70253
MDG058,-18.77293,47.02948
DLH507,49.25520,8.95993
AFR228,-18.11330,-48.79852
SAS97C,41.56994,2.76376
CES570,31.11310,121.79912
IBE2882,52.30682,6.32225
AMX097,39.23450,-114.74371
FDX5030,54.31543,24.70792
ELY027,44.90918,-70.84078
AMX026,23.24004,-98.40317
AIC127,72.62805,-64.08875
QTR8163,25.54752,-98.30215
AFR188,25.30351,108.10667
BOX571,51.82144,16.01868
AFR442,-20.03525,-43.54851
CCA986,44.70447,124.27702
BAW161,30.74724,121.84013
MPH8341,-25.19426,27.17951
AFR454,-18.22353,-45.46172
TOM45X,41.59671,18.93385
AIC101,59.05794,-39.45854
CLX766,-17.04883,-44.83972
CSN304,24.63712,113.72314
SAA210,5.70279,-0.94501
CES2856,51.20375,134.59299
QFA10,-27.15482,118.38307
IBE6409,21.97089,-93.94185
AAL722,53.42410,-6.24159
DAL420,5.60801,-0.16952
KAL072,37.44024,123.37380
UAL990,49.77452,1.14272
AFR406,-16.04288,-48.20150
UAL970,45.78232,4.17025
VPCWW,32.41251,-14.42972
AAR271,37.47609,137.09433
UAL955,66.67875,-100.63300
RYR3717,47.43364,19.25553
ELY006,56.90625,10.71047
UAE425,23.74523,57.61122
AZG785,50.86739,-79.08679
KAL122,35.92571,128.49837
AEA041,-22.49339,-46.71809
ELY001,45.24751,-68.22510
IBE6314,41.40646,-8.93276
