callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.47778,-117.70040
HBAL186,39.00188,-119.18817
HBAL117,39.07404,-120.81958
CONTROL,42.68450,23.40989
HBAL015,39.17287,-111.24182
HBAL074,-2.83731,-41.98476
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43616,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81525
YOLSUPUR,40.98273,28.82755
FREN2,40.97188,28.81527
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39104,-70.79003
1EEJ911,-31.93777,115.95891
00000000,44.50085,26.06722
ESC725,45.45063,-73.74699
AFR990,-25.95599,28.31235
ORION1,47.45345,8.56175
AMBI,22.65430,88.44395
HBAL264,-8.55771,-78.98383
F12,41.30558,2.08814
MT1,-26.13008,28.23547
ELC4,25.25518,55.36407
FUEL954,58.88142,5.63028
ELEC10,25.27035,55.34475
FUEL911,58.88354,5.61793
AP12,-37.00687,174.79488
FOLOWME5,13.19982,77.70407
F02,41.29988,2.07149
DMGR,31.98828,34.88887
FOLOWME3,13.20332,77.70555
DTD2TEG,8.98060,38.78770
HERON1,46.23898,6.11403
BRD2,32.01106,34.87524
NAVETTE3,46.23742,6.11389
YELLOW3,46.23475,6.10838
DAL476,41.31665,2.13578
V7,52.31417,4.74372
SASTAU1,58.88457,5.62747
TJ08,47.45324,8.55711
MEISTRAS,54.64276,25.29075
FDX96,35.05528,-89.95653
AIR21,25.23628,55.39794
PAPA8,40.49383,-3.59123
DAL55,31.26672,-76.56477
KF,52.31335,4.76084
BAW27,22.18067,114.53158
HAUKKA1,60.31598,24.90601
AAL125,21.67938,113.40307
EVA005,30.57623,128.89635
N,45.95183,4.93916
THY24,23.86002,106.55701
TE13,47.46109,8.55857
A6EDW,25.23656,55.39739
ETD182,24.68486,54.45613
MAGELAN4,46.22696,6.09949
FM1,32.00514,34.87495
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,48.07864,43.76404
F10,41.29333,2.08305
MAS1,9.46334,95.68141
EVA029,29.54083,127.37823
UAE222,26.33656,56.03577
FAUNA5,40.47953,-3.54629
00000000,48.10723,16.57222
CAM134,45.46508,-73.75941
AAR221,37.15441,126.31955
CSN399,40.95950,-74.53271
UAL49,50.91018,-66.05286
FDX28,37.71661,-122.22141
DAAOPS2,53.42348,-6.24179
YELLOW7,46.22972,6.10200
KAL082,37.43213,123.56218
UAL83,43.45386,-73.65639
AAL150,49.00177,2.56121
00000000,48.11802,16.56612
N688ZJ,51.27750,-0.78059
CQH8533,16.30943,108.70100
AIRPORT1,46.22893,6.10397
KAL018,36.82059,127.99435
AIC174,40.03465,65.52695
CPA831,40.70174,113.87146
CLX128,49.61961,6.20148
UAL895,48.22989,115.29399
AIC144,25.23024,75.16219
SIA52,53.36184,-2.28055
AIC126,31.39129,74.31130
SIA31,14.63841,123.41809
CES590,31.15762,121.80895
ETD278,10.18790,68.90074
VPBCB,55.97834,37.39939
AIB244TE,53.53862,9.82248
UAE409,23.57801,57.84592
ACA43,51.72391,-70.84671
CPA3123,22.30235,113.92634
UAL179,38.44372,114.68079
CRK350,22.33351,113.96797
SQB02ERA,31.52493,74.39964
BAW33,2.74665,101.71623
AFR274,37.81141,139.40308
CRK081,25.87231,113.75282
AFR256,1.35914,103.98371
CAL5173,26.92973,123.78497
QTR914,-34.98871,138.47325
F08,41.29045,2.07016
ACA031,40.38066,115.73291
GIA088,52.31559,4.63992
FDX41,35.06113,-89.95820
P14,40.50953,-3.57926
AIC102,31.63545,71.49940
CES586,33.79069,123.36427
CES768,36.83354,120.60596
AAR201,37.26413,126.67947
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.35893,116.85670
CSN432,40.38109,122.76504
TUG2,25.26228,55.36399
AFR393,47.27375,-1.17603
VJT726,43.23111,-73.53609
DLH778,2.13042,104.10863
CCA967,46.17642,10.38496
CCA880,45.03468,125.05108
SIA319,3.42252,100.82623
UAE415,19.29459,69.96500
JAS27,41.94247,-72.67607
TAM8063,-22.65656,-46.28480
CSN330,26.92195,113.63645
SIA325,1.50075,104.04162
AZA680,-27.09453,-50.26002
CPA879,27.91109,129.51280
AFR460,-18.75352,56.37737
DLH510,-24.34566,-52.44630
UAL198,33.58173,130.24017
KAL024,37.44293,126.47613
AAR211,37.12704,127.12561
CKK222,33.73068,130.52144
CPA807,51.36241,117.35938
FWZNF,43.62062,1.36414
DAL159,41.58376,124.14384
AZA688,-22.93213,-55.01029
CES208,48.51341,126.79611
DLH506,-23.34329,-46.62776
UAL853,41.03547,112.23901
DLH511,45.65707,5.46503
ARG1140,4.61670,-23.35775
CES582,31.14331,121.79832
DLH455,53.10419,2.68301
RYR21GH,37.78195,-0.80349
UAL123,54.18319,-16.20316
THA917,14.05215,100.85606
DAL185,33.95069,131.57233
AFR102,24.62361,108.06467
RANGER4,42.68914,23.39983
OH4,52.29918,4.75384
BAW59,-33.96706,18.59755
AZA674,-23.43679,-46.47874
BAW2063,-20.25655,56.91649
CAL5235,29.84290,127.80435
CHH7962,52.27114,127.09476
CES588,56.49682,128.40160
UPS2,22.30093,113.91573
FDX1977,40.56092,-74.26895
SWR92,-21.55839,-42.28933
UAL857,32.75701,128.26442
DLH520,24.55293,-97.95145
TU014,47.45422,8.55771
DLH730,22.31458,113.91788
CCA818,53.25055,136.92310
CPA3281,22.27011,114.93542
UAE208,34.02187,48.49987
PAL101,15.16109,122.14007
CMP362,21.15162,-97.85400
MSR986,35.93060,26.25893
SWR138,21.43208,113.44058
VIR206,22.39112,114.14703
EVA068,14.33290,100.34713
JAL65,35.77247,140.39633
BAW251,-18.16971,-55.96622
BAW15,14.08131,98.21883
BAW245,-20.02094,-50.23587
CHH7978,40.08168,116.57704
FIN81,1.44217,104.01723
CES710,38.74796,112.38219
ZEBRA7,47.45547,8.56135
AMX004,26.15268,-97.35957
SWR178,4.42264,100.73523
CCA982,58.85540,130.65550
IBE6051,-26.15546,28.25100
UAL871,32.42171,132.54922
SIA321,12.96286,98.80526
FMS,52.37068,13.52133
CPA254,22.68562,113.62086
SHT7J,51.69603,-0.52861
AIC191,59.40098,-36.19108
AIC103,66.91947,-62.27259
KLM394,51.33957,4.02656
P21,40.46719,-3.56875
ETH684,31.14402,121.81012
