callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.47042,-117.70409
HBAL186,38.99960,-119.20276
HBAL117,39.07603,-120.82877
CONTROL,42.68450,23.40989
HBAL015,39.16091,-111.23120
HBAL074,-2.82027,-41.98468
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43618,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81527
YOLSUPUR,40.98273,28.82755
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47251,-3.55719
FREN1,40.97193,28.81529
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.45032,-73.74725
AFR990,-26.09692,28.26917
ORION1,47.45345,8.56175
AMBI,22.65445,88.44401
HBAL264,-8.54089,-78.98441
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88435,5.62924
ELEC10,25.27142,55.34613
FUEL911,58.88351,5.61788
AP12,-37.00507,174.80382
F02,41.30117,2.07819
DMGR,31.99188,34.89901
FOLOWME3,13.20175,77.70855
DTD2TEG,8.98060,38.78770
HERON1,46.23812,6.11364
BRD2,32.00991,34.88123
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11164
DAL476,41.29317,2.08412
V7,52.31338,4.80509
SASTAU1,58.88362,5.62910
TJ08,47.45337,8.55706
MEISTRAS,54.62539,25.27972
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39808
PAPA8,40.49407,-3.58687
DAL55,31.37018,-76.96989
SER354,45.45867,-73.75819
BAW27,22.37333,114.30557
HAUKKA1,60.31598,24.90601
AAL125,21.41899,113.34570
EVA005,30.28675,128.46375
N,45.80382,4.92188
THY24,23.82751,106.97652
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.53540,54.53908
MAGELAN4,46.22887,6.10260
FM1,32.00510,34.87463
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,48.42629,43.38060
F10,41.29316,2.08024
MAS1,9.17282,95.95594
EVA029,29.34471,127.07941
UAE222,26.05371,55.93097
CAM134,45.46508,-73.75939
AAR221,37.19572,126.56133
CSN399,40.83795,-74.09978
UAL49,50.61974,-66.49497
FDX28,37.71661,-122.22139
DAAOPS2,53.42366,-6.24204
YELLOW7,46.22972,6.10200
KAL082,37.10156,124.03944
UAL83,43.10889,-73.72829
00000000,48.11799,16.56617
N688ZJ,51.27774,-0.78157
CQH8533,15.94382,108.57209
AIRPORT1,46.22893,6.10397
KAL018,36.96048,127.64483
AIC174,39.61335,65.74268
CPA831,40.34007,114.08209
CLX128,49.61760,6.20139
UAL895,47.83734,115.26323
AIC144,24.82738,75.04865
