callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.46153,-117.70721
HBAL186,38.99579,-119.21772
HBAL117,39.07679,-120.83844
CONTROL,42.68450,23.40989
HBAL015,39.14662,-111.21938
HBAL074,-2.80312,-41.98472
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43616,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81525
YOLSUPUR,40.98270,28.82759
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45008,-73.77715
AFR990,-26.15688,28.24852
AMBI,22.65445,88.44401
HBAL264,-8.53697,-78.98411
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FOLOWME1,13.20206,77.70453
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00777,174.79716
F02,41.30357,2.08530
DMGR,31.99483,34.89630
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98060,38.78771
BRD2,32.01499,34.87971
NAVETTE3,46.23218,6.10799
YELLOW3,46.23708,6.11164
DAL476,41.28617,2.07807
V7,52.30722,4.79693
SASTAU1,58.88078,5.62824
MEISTRAS,54.63638,25.28201
FDX96,35.05528,-89.95654
AIR21,25.23568,55.39808
PAPA8,40.48655,-3.58755
DAL55,31.53411,-77.42692
SER354,45.45930,-73.75775
BAW27,22.38474,114.12750
AAL125,21.49475,113.55621
EVA005,30.00999,128.05132
N,45.64852,4.90388
THY24,23.80655,107.44207
TE13,47.46083,8.55728
ETD182,24.45668,54.65199
FM1,32.00509,34.87464
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44619
TU012,47.45424,8.55557
UAE179,48.77081,42.92879
F10,41.29245,2.07841
MAS1,9.75916,96.77912
EVA029,29.03846,126.66480
UAE222,25.80537,55.83226
CAM134,45.46508,-73.75939
AAR221,37.33781,126.53550
CSN399,40.66415,-73.75037
UAL49,50.25989,-66.95358
FDX28,37.71661,-122.22139
DAAOPS2,53.42374,-6.24215
YELLOW7,46.23472,6.11106
KAL082,37.12386,124.61301
UAL83,42.72734,-73.81177
N688ZJ,51.27771,-0.78150
