callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.45390,-117.70935
HBAL186,38.99248,-119.23059
HBAL117,39.07599,-120.84543
CONTROL,42.68451,23.40988
HBAL015,39.13481,-111.21018
HBAL074,-2.78870,-41.98518
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97213,28.81525
YOLSUPUR,40.98268,28.82756
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.46667,-3.55434
FREN1,40.97191,28.81528
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.46500,-73.78481
AMBI,22.65445,88.44402
HBAL264,-8.51012,-78.97768
MT1,-26.13008,28.23547
ELC4,25.26543,55.34585
FOLOWME1,13.20315,77.70718
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00693,174.79781
F02,41.30482,2.08366
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78770
BRD2,32.01328,34.87282
NAVETTE3,46.23218,6.10799
YELLOW3,46.23707,6.11163
DAL476,41.28503,2.07437
V7,52.28849,4.77423
BRD1,32.00747,34.86644
SASTAU1,58.88078,5.62824
MEISTRAS,54.63883,25.28381
FDX96,35.05528,-89.95653
AIR21,25.23485,55.39323
PAPA8,40.48655,-3.58755
DAL55,31.66003,-77.77060
SER354,45.45930,-73.75775
BAW27,22.34591,114.00625
AAL125,21.64453,113.70110
EVA005,29.83516,127.79317
N,45.52720,4.88992
WT1,-26.12183,28.24403
THY24,23.78908,107.80869
TE13,47.46083,8.55728
A6EDW,25.23454,55.39374
ETD182,24.44135,54.65014
FM1,32.00519,34.87443
RA23030,43.45070,39.93543
8Z151,-4.38829,15.44618
TU012,47.45424,8.55557
UAE179,49.10051,42.61998
F10,41.29183,2.08383
MAS1,9.52240,96.99100
EVA029,28.82002,126.36888
UAE222,25.88342,55.92833
00000000,48.12482,16.52699
CAM134,45.46508,-73.75941
AAR221,37.38450,126.49367
CSN399,40.47363,-73.73986
UAL49,49.97685,-67.26538
