callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.46919,-117.70453
HBAL186,38.99909,-119.20465
HBAL117,39.07626,-120.83021
CONTROL,42.68450,23.40989
HBAL015,39.15914,-111.22961
HBAL074,-2.81781,-41.98482
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43618,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81527
YOLSUPUR,40.98270,28.82756
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.44986,-73.75207
AFR990,-26.11615,28.26316
ORION1,47.45345,8.56175
AMBI,22.65445,88.44402
HBAL264,-8.53835,-78.98425
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88418,5.62928
ELEC10,25.27142,55.34613
FUEL911,58.88354,5.61781
AP12,-37.00524,174.80374
F02,41.30117,2.07819
DMGR,31.99429,34.89761
FOLOWME3,13.20180,77.70842
DTD2TEG,8.98061,38.78770
HERON1,46.23812,6.11364
BRD2,32.01145,34.88234
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11164
DAL476,41.29227,2.08453
V7,52.30965,4.80028
SASTAU1,58.88255,5.63023
TJ08,47.45337,8.55706
MEISTRAS,54.62410,25.27892
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39809
PAPA8,40.49269,-3.58704
DAL55,31.38823,-77.02225
SER354,45.45906,-73.75793
BAW27,22.39037,114.28726
HAUKKA1,60.31598,24.90601
AAL125,21.38195,113.37138
EVA005,30.22036,128.36443
N,45.78172,4.91933
THY24,23.82474,107.03979
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.52265,54.55702
MAGELAN4,46.22887,6.10260
FM1,32.00510,34.87463
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,48.48090,43.31996
F10,41.29316,2.08024
MAS1,9.13409,95.99252
EVA029,29.29805,127.01093
UAE222,26.01642,55.91539
CAM134,45.46508,-73.75939
