callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.45972,-117.70776
HBAL186,38.99487,-119.22131
HBAL117,39.07672,-120.84053
CONTROL,42.68451,23.40988
HBAL015,39.14405,-111.21741
HBAL074,-2.79881,-41.98487
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97217,28.81525
YOLSUPUR,40.98265,28.82758
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45121,-73.78065
AMBI,22.65445,88.44401
HBAL264,-8.51864,-78.98067
MT1,-26.13008,28.23547
ELC4,25.26458,55.34734
FOLOWME1,13.20205,77.70555
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00709,174.79718
F02,41.30474,2.08497
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78771
BRD2,32.01473,34.87809
NAVETTE3,46.23218,6.10799
YELLOW3,46.23708,6.11164
DAL476,41.28503,2.07437
V7,52.29727,4.78371
SASTAU1,58.88078,5.62824
MEISTRAS,54.63636,25.28217
FDX96,35.05528,-89.95654
AIR21,25.23422,55.39711
PAPA8,40.48655,-3.58755
DAL55,31.56422,-77.50822
SER354,45.45930,-73.75775
BAW27,22.37325,114.09167
AAL125,21.53306,113.59319
EVA005,29.96794,127.98920
N,45.61872,4.90045
THY24,23.80244,107.52915
TE13,47.46083,8.55728
A6EDW,25.23495,55.39758
ETD182,24.45668,54.65199
FM1,32.00509,34.87464
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44619
TU012,47.45423,8.55557
UAE179,48.86621,42.88730
F10,41.29245,2.07841
MAS1,9.70340,96.83126
EVA029,28.99870,126.60664
UAE222,25.76494,55.87646
CAM134,45.46508,-73.75941
AAR221,37.34798,126.52650
CSN399,40.61559,-73.72656
UAL49,50.19113,-67.02975
FDX28,37.71661,-122.22140
DAAOPS2,53.42279,-6.24454
YELLOW7,46.23470,6.11111
KAL082,37.13983,124.71507
UAL83,42.66371,-73.83955
N688ZJ,51.27771,-0.78148
CQH8533,15.48001,108.40143
KAL018,37.10558,127.18813
AIC174,39.08615,66.00700
CPA831,39.82576,114.30898
CLX128,49.61784,6.20140
UAL895,47.32048,115.22311
AIC144,24.32249,74.85352
AIC126,30.83986,75.18515
SIA31,14.02428,122.62231
CES590,31.14116,121.79921
VPBCB,55.97799,37.39654
AIB244TE,53.53863,9.82248
UAE409,24.16257,57.02221
ACA43,50.92009,-71.87126
UAL179,37.47766,114.79240
CRK350,22.30971,113.92263
SQB02ERA,31.52505,74.39966
AFR274,37.28490,140.15605
CRK081,24.87021,113.83692
CAL5173,26.35699,123.03282
QTR914,-34.93869,138.53880
F08,41.29127,2.07437
ACA031,40.35448,116.41144
GIA088,52.27011,4.68781
FDX41,35.06112,-89.95820
AIC102,31.29460,72.53487
CES586,32.83245,123.36923
CES768,36.66422,120.38532
A6EOT,25.23915,55.40046
AAR201,37.43977,126.47901
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.19976,116.59559
CSN432,39.53842,122.32619
TUG2,25.26218,55.36415
AFR393,47.76874,-0.11627
VJT726,42.51315,-73.89492
DLH778,1.73086,104.17298
CCA967,45.71397,9.59569
CCA880,44.51318,124.02650
SIA319,2.78541,101.46546
UAE415,19.75083,69.01476
JAS27,41.94238,-72.67617
TAM8063,-23.32494,-46.44675
CSN330,26.07010,113.65497
SIA325,1.36134,103.98270
AZA680,-27.71150,-50.74383
CPA879,27.36026,128.70453
AFR460,-19.54147,56.88736
DLH510,-25.18225,-52.84921
UAL198,33.24910,129.33577
AAR211,37.31374,126.59126
CKK222,33.36429,129.69817
CPA807,50.59776,116.64532
FWZNF,43.62062,1.36414
DAL159,40.81096,123.58307
AZA688,-23.54221,-55.66020
CES208,47.46327,126.54863
DLH506,-23.43816,-46.48533
UAL853,40.25074,111.89226
DLH511,46.34454,6.56413
ARG1140,5.36894,-22.82900
CES582,31.14686,121.79843
DLH455,52.59281,4.00750
UAL123,54.25750,-17.55781
THA917,13.70997,100.76603
DAL185,33.73897,130.65497
AFR102,23.80360,108.31229
RANGER4,42.68914,23.39983
OH4,52.29918,4.75384
BAW2063,-20.30711,57.42604
CAL5235,29.27843,127.02089
CHH7962,51.22197,127.64005
