callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.46910,-117.70453
HBAL186,38.99900,-119.20508
HBAL117,39.07626,-120.83044
CONTROL,42.68450,23.40989
HBAL015,39.15914,-111.22961
HBAL074,-2.81753,-41.98482
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43618,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81526
YOLSUPUR,40.98270,28.82756
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.44984,-73.75258
AFR990,-26.11981,28.26202
ORION1,47.45345,8.56175
AMBI,22.65445,88.44402
HBAL264,-8.53835,-78.98425
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88418,5.62928
ELEC10,25.27142,55.34613
FUEL911,58.88354,5.61781
AP12,-37.00524,174.80374
F02,41.30117,2.07819
DMGR,31.99449,34.89743
FOLOWME3,13.20179,77.70842
DTD2TEG,8.98061,38.78770
HERON1,46.23812,6.11364
BRD2,32.01165,34.88247
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11164
DAL476,41.29187,2.08441
V7,52.30965,4.80028
SASTAU1,58.88241,5.63030
TJ08,47.45337,8.55706
MEISTRAS,54.62410,25.27892
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39808
PAPA8,40.49269,-3.58704
DAL55,31.39625,-77.04552
SER354,45.45916,-73.75790
BAW27,22.39215,114.28508
HAUKKA1,60.31598,24.90601
AAL125,21.37733,113.37940
EVA005,30.21414,128.35516
N,45.77911,4.91899
THY24,23.82409,107.05415
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.52265,54.55702
MAGELAN4,46.22887,6.10260
FM1,32.00509,34.87464
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45422,8.55557
UAE179,48.48630,43.31396
F10,41.29316,2.08024
MAS1,9.11472,96.01082
EVA029,29.29805,127.01093
UAE222,26.01215,55.91362
CAM134,45.46508,-73.75941
AAR221,37.20992,126.58722
CSN399,40.81617,-74.03443
UAL49,50.55370,-66.55994
FDX28,37.71661,-122.22139
DAAOPS2,53.42368,-6.24205
YELLOW7,46.22972,6.10200
KAL082,37.10805,124.10589
UAL83,43.03289,-73.74403
00000000,48.11799,16.56617
N688ZJ,51.27771,-0.78148
CQH8533,15.88898,108.55181
AIRPORT1,46.22893,6.10397
KAL018,36.97979,127.58411
AIC174,39.53801,65.78064
CPA831,40.24905,114.12244
CLX128,49.61760,6.20140
UAL895,47.75883,115.25712
AIC144,24.76208,75.02325
SIA52,53.36184,-2.28055
AIC126,31.15527,74.79921
SIA31,14.32590,123.01221
