callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.47214,-117.70334
HBAL186,39.00032,-119.19957
HBAL117,39.07562,-120.82684
CONTROL,42.68451,23.40988
HBAL015,39.16383,-111.23389
HBAL074,-2.82381,-41.98444
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43617,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81527
YOLSUPUR,40.98273,28.82755
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47251,-3.55719
FREN1,40.97193,28.81529
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.45062,-73.74699
AFR990,-26.07124,28.27710
ORION1,47.45345,8.56175
AMBI,22.65445,88.44402
HBAL264,-8.54634,-78.98469
F12,41.30558,2.08814
MT1,-26.13008,28.23547
ELC4,25.25518,55.36407
FUEL954,58.88347,5.63120
ELEC10,25.27142,55.34613
FUEL911,58.88352,5.61792
AP12,-37.00579,174.79948
F02,41.30117,2.07819
DMGR,31.98967,34.89899
FOLOWME3,13.20281,77.70885
DTD2TEG,8.98060,38.78770
HERON1,46.23812,6.11364
BRD2,32.00941,34.87918
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11164
DAL476,41.29557,2.08269
V7,52.31383,4.80572
SASTAU1,58.88493,5.62823
TJ08,47.45337,8.55706
MEISTRAS,54.63216,25.28441
FDX96,35.05528,-89.95654
AIR21,25.23568,55.39809
PAPA8,40.49575,-3.58733
DAL55,31.34786,-76.89616
BAW27,22.34715,114.33411
HAUKKA1,60.31598,24.90601
AAL125,21.49242,113.32016
EVA005,30.30728,128.49451
N,45.83867,4.92589
THY24,23.83154,106.88232
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.55852,54.50684
MAGELAN4,46.22887,6.10260
FM1,32.00497,34.87491
RA23030,43.44474,39.93543
8Z151,-4.38828,15.44618
TU012,47.45422,8.55557
UAE179,48.34576,43.47030
F10,41.29398,2.08209
MAS1,9.23093,95.90105
EVA029,29.38576,127.14189
UAE222,26.11432,55.95664
00000000,48.10723,16.57222
CAM134,45.46508,-73.75939
AAR221,37.18513,126.52005
CSN399,40.87093,-74.19757
UAL49,50.67393,-66.41302
FDX28,37.71661,-122.22140
DAAOPS2,53.42360,-6.24188
YELLOW7,46.22972,6.10200
KAL082,37.13498,123.90866
UAL83,43.16972,-73.71584
00000000,48.11799,16.56617
N688ZJ,51.27774,-0.78148
CQH8533,16.02617,108.60191
AIRPORT1,46.22893,6.10397
KAL018,36.93773,127.71618
AIC174,39.70911,65.69434
CPA831,40.39810,114.05457
CLX128,49.61763,6.20140
UAL895,47.91585,115.26937
AIC144,24.91829,75.08398
SIA52,53.36184,-2.28055
AIC126,31.26892,74.65237
SIA31,14.42947,123.14642
CES590,31.15762,121.80895
ETD278,10.18790,68.90074
VPBCB,55.97863,37.39732
AIB244TE,53.53864,9.82250
UAE409,23.78513,57.55534
ACA43,51.42300,-71.23581
CPA3123,22.30235,113.92634
UAL179,38.10974,114.71848
CRK350,22.31324,113.91045
SQB02ERA,31.52505,74.39966
BAW33,2.74665,101.71623
AFR274,37.60913,139.65891
CRK081,25.54432,113.77190
CAL5173,26.74890,123.54699
QTR914,-34.94348,138.53905
F08,41.29045,2.07016
ACA031,40.37029,115.97393
GIA088,52.25679,4.41423
FDX41,35.06113,-89.95818
P14,40.50953,-3.57926
AIC102,31.47625,71.84669
CES586,33.46770,123.36603
CES768,36.69022,120.69449
A6EOT,25.23917,55.40046
AAR201,37.34337,126.56501
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.24892,116.84039
CSN432,40.10555,122.58395
TUG2,25.26221,55.36412
AFR393,47.49986,-0.89764
VJT726,42.97801,-73.66358
DLH778,1.96972,104.16043
CCA967,46.02745,10.07899
CCA880,44.85145,124.68437
SIA319,3.19913,101.04908
UAE415,19.45214,69.63718
JAS27,41.94246,-72.67619
TAM8063,-22.93213,-46.28051
CSN330,26.62029,113.72730
SIA325,1.40346,104.00044
AZA680,-27.31248,-50.41468
CPA879,27.72712,129.24106
AFR460,-19.03912,56.56156
DLH510,-24.63326,-52.58399
UAL198,33.43401,129.94925
KAL024,37.44293,126.47613
AAR211,37.19175,126.90910
CKK222,33.59498,130.26117
CPA807,51.10230,117.11334
FWZNF,43.62062,1.36413
DAL159,41.31528,123.94696
AZA688,-23.13763,-55.22822
CES208,48.09526,126.66062
DLH506,-23.44716,-46.70153
UAL853,40.81870,112.00183
DLH511,45.89832,5.83414
ARG1140,4.87647,-23.17523
CES582,31.14345,121.79827
DLH455,52.93483,3.12935
RYR21GH,37.78195,-0.80349
UAL123,54.20963,-16.63439
THA917,13.91423,100.81960
DAL185,33.87772,131.25259
AFR102,24.31423,108.10220
RANGER4,42.68914,23.39983
OH4,52.29919,4.75384
BAW59,-33.96711,18.59734
BAW2063,-20.26744,57.11316
CAL5235,29.65169,127.55174
CHH7962,51.94787,126.97327
CES588,56.24027,128.16350
UPS2,22.30126,113.91928
FDX1977,40.32010,-74.30291
SWR92,-21.70345,-42.51953
UAL857,32.66114,127.92161
DLH520,24.24957,-98.05669
TU014,47.45422,8.55771
DLH730,22.30840,113.92116
CCA818,52.99381,136.61632
CPA3281,22.16364,114.96233
UAE208,33.74283,48.71412
PAL101,15.03400,121.95428
CMP362,20.93729,-97.60484
MSR986,35.67828,26.55241
SWR138,21.50125,113.59274
VIR206,22.35191,114.02510
EVA068,14.28278,100.54668
BAW251,-18.41406,-56.17534
BAW15,13.79860,98.36514
BAW245,-20.27350,-50.37416
CHH7978,40.08168,116.57704
FIN81,1.44217,104.01723
CES710,38.44102,112.45552
ZEBRA7,47.45550,8.56199
AMX004,25.84593,-97.49174
SWR178,4.10786,100.66782
CCA982,58.61513,130.36635
IBE6051,-26.15469,28.24918
UAL871,32.29329,132.24698
SIA321,12.68518,98.95168
FMS,52.37068,13.52133
CPA254,22.40387,113.59359
SHT7J,51.72875,-0.55786
AIC191,59.34726,-36.79264
AIC103,66.68704,-62.54761
KLM394,51.55902,4.06680
P21,40.46719,-3.56875
ETH684,31.15316,121.81174
SVA038,26.67191,36.17037
CSN336,16.16209,117.98604
CHH498,50.38930,127.42030
UAL869,47.10780,115.20826
DAL469,45.52334,-70.21215
AEA039,5.32511,-79.60646
ACA82,32.10292,34.69993
TAM8085,-21.09780,-45.39032
ANA111,52.96748,147.76662
KLM592,52.31503,4.77390
UAL194,48.35740,11.41573
FDX5170,51.99997,18.02127
AFL2450,49.52563,4.31878
FOLLOW1,50.10986,14.26530
CCA988,45.85382,127.03022
THY1RD,45.76630,19.17704
CHH482,58.62473,130.63744
KAL020,37.15460,125.03451
SVA020,27.47653,30.67710
ANZ99,35.69572,140.45706
CPA837,34.75092,137.08832
TAM8101,-23.11253,-46.38799
SWR93,44.00723,6.30602
ROU1955,35.69225,138.06519
VHTGG,-36.90756,146.77647
AMX022,21.36754,-96.93941
AMX008,24.70713,-97.89793
BAW247,-11.49389,-38.23329
JBU894,40.68654,-74.18520
CHH7976,56.37252,128.28667
SAS940,59.65644,17.94180
JAL17,35.77446,140.39238
IBE6833,-13.90049,-52.47039
MDG058,-18.82672,47.20369
DLH507,48.91998,9.05570
AFR228,-17.83062,-48.60469
SAS97C,41.75079,2.79596
CES570,31.01353,121.83665
