callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.46856,-117.70471
HBAL186,38.99876,-119.20593
HBAL117,39.07637,-120.83112
CONTROL,42.68451,23.40988
HBAL015,39.15802,-111.22869
HBAL074,-2.81697,-41.98487
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81526
YOLSUPUR,40.98270,28.82759
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.44987,-73.75572
AFR990,-26.12712,28.25979
ORION1,47.45345,8.56175
AMBI,22.65445,88.44401
HBAL264,-8.53697,-78.98411
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88418,5.62928
ELEC10,25.27142,55.34613
FUEL911,58.88354,5.61781
AP12,-37.00524,174.80374
F02,41.30360,2.08449
DMGR,31.99472,34.89711
FOLOWME3,13.20188,77.70819
DTD2TEG,8.98061,38.78771
HERON1,46.23812,6.11364
BRD2,32.01234,34.88298
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11164
DAL476,41.29122,2.08411
V7,52.30862,4.79891
SASTAU1,58.88195,5.63019
TJ08,47.45337,8.55706
MEISTRAS,54.62410,25.27892
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39808
PAPA8,40.49046,-3.58766
DAL55,31.40427,-77.06879
SER354,45.45930,-73.75775
BAW27,22.39705,114.27424
HAUKKA1,60.31598,24.90601
AAL125,21.37237,113.39615
EVA005,30.21031,128.34937
N,45.76932,4.91786
THY24,23.82278,107.08250
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.51595,54.56650
MAGELAN4,46.22887,6.10260
FM1,32.00510,34.87464
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,48.50943,43.28830
F10,41.29245,2.07841
MAS1,9.09535,96.02911
EVA029,29.20427,126.91316
UAE222,25.99589,55.90678
CAM134,45.46508,-73.75941
AAR221,37.21661,126.58865
CSN399,40.80722,-74.00684
UAL49,50.53739,-66.61879
FDX28,37.71661,-122.22140
DAAOPS2,53.42368,-6.24205
YELLOW7,46.22972,6.10200
KAL082,37.11338,124.13732
UAL83,43.00946,-73.74899
00000000,48.11799,16.56617
N688ZJ,51.27771,-0.78150
CQH8533,15.85174,108.53815
AIRPORT1,46.22893,6.10397
KAL018,36.98934,127.55389
AIC174,39.51746,65.79097
CPA831,40.24905,114.12244
CLX128,49.61762,6.20140
UAL895,47.73266,115.25508
AIC144,24.73526,75.01287
SIA52,53.36184,-2.28055
AIC126,31.14182,74.82793
SIA31,14.30791,122.98887
CES590,31.14229,121.80698
VPBCB,55.97961,37.39590
AIB244TE,53.53863,9.82250
UAE409,23.90723,57.38335
ACA43,51.26857,-71.43296
CPA3123,22.30235,113.92634
UAL179,37.91475,114.74151
CRK350,22.31483,113.91579
SQB02ERA,31.52505,74.39966
BAW33,2.74665,101.71623
AFR274,37.50742,139.81578
CRK081,25.29602,113.83070
CAL5173,26.62136,123.37831
QTR914,-34.93914,138.54031
F08,41.29127,2.07437
ACA031,40.36358,116.11431
GIA088,52.20824,4.48124
FDX41,35.06114,-89.95818
P14,40.50953,-3.57926
AIC102,31.38086,72.05350
CES586,33.27882,123.36707
CES768,36.64133,120.61632
A6EOT,25.23918,55.40044
AAR201,37.39127,126.52250
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.25665,116.72797
CSN432,39.94010,122.47571
TUG2,25.26221,55.36412
AFR393,47.58421,-0.66495
VJT726,42.83148,-73.73679
DLH778,1.88567,104.19048
CCA967,45.92848,9.92065
CCA880,44.75487,124.49386
SIA319,3.07357,101.17546
UAE415,19.54405,69.44579
JAS27,41.94250,-72.67621
TAM8063,-23.10653,-46.27772
CSN330,26.45052,113.70705
SIA325,1.36134,103.98270
AZA680,-27.44188,-50.50679
CPA879,27.61195,129.07198
AFR460,-19.19742,56.66380
DLH510,-24.80379,-52.66617
UAL198,33.37833,129.76395
AAR211,37.22635,126.78988
CKK222,33.49578,130.10217
CPA807,50.94292,116.96423
FWZNF,43.62062,1.36414
DAL159,41.15762,123.83289
AZA688,-23.26295,-55.36161
CES208,47.94513,126.62849
DLH506,-23.47980,-46.64291
UAL853,40.68335,111.91254
DLH511,46.03903,6.06385
ARG1140,5.02800,-23.06873
CES582,31.14480,121.79776
DLH455,52.83023,3.40118
UAL123,54.22494,-16.91831
THA917,13.83346,100.79831
DAL185,33.83684,131.07469
AFR102,24.12551,108.12501
RANGER4,42.68914,23.39983
OH4,52.29919,4.75384
BAW59,-33.96711,18.59734
BAW2063,-20.27357,57.22195
CAL5235,29.53530,127.39782
CHH7962,51.65955,127.66744
CES588,56.06342,127.99605
UPS2,22.29974,113.92106
FDX1977,40.17755,-74.39429
SWR92,-21.79422,-42.66413
UAL857,32.61099,127.73628
DLH520,24.06388,-98.12092
DLH730,22.30808,113.92614
CCA818,52.84322,136.43803
CPA3281,22.18675,115.07884
UAE208,33.57898,48.83916
PAL101,14.96672,121.84200
CMP362,20.80778,-97.45448
MSR986,35.52816,26.72559
SWR138,21.59161,113.66165
VIR206,22.32841,113.95213
EVA068,14.24075,100.65565
BAW251,-18.55989,-56.30066
BAW15,13.62686,98.45514
BAW245,-20.42862,-50.45937
FIN81,1.35990,103.98403
CES710,38.24597,112.50203
ZEBRA7,47.45581,8.56178
AMX004,25.65660,-97.56439
SWR178,3.91132,100.62923
CCA982,58.45261,130.17191
IBE6051,-26.14902,28.25092
UAL871,32.22001,132.07545
SIA321,12.52097,99.03804
FMS,52.37068,13.52133
CPA254,22.23679,113.57737
SHT7J,51.68266,-0.41600
AIC191,59.31565,-37.14302
AIC103,66.53542,-62.72564
KLM394,51.69118,4.09126
ETH684,31.15316,121.81174
SVA038,26.65181,36.34971
CSN336,16.29105,117.84127
CHH498,50.20491,127.32655
UAL869,46.92266,115.19401
DAL469,45.35820,-70.31767
AEA039,5.15431,-79.66101
ACA82,32.03531,34.78870
TAM8085,-21.15306,-45.56488
ANA111,52.78694,147.64581
KLM592,52.31503,4.77391
UAL194,48.31297,11.56290
FDX5170,52.02699,17.72362
AFL2450,49.50156,4.09797
FOLLOW1,50.11015,14.26855
CCA988,45.78093,126.81308
THY1RD,45.64888,19.37050
CHH482,58.48856,130.47441
KAL020,37.17648,125.24731
SVA020,27.38622,30.81495
ANZ99,35.73866,140.42616
CPA837,34.63901,136.92822
TAM8101,-23.21458,-46.49572
SWR93,44.18673,6.41451
ROU1955,35.63498,137.91121
VHTGG,-37.01042,146.59706
AMX022,21.33366,-97.14151
AMX008,24.51245,-97.96561
BAW247,-11.63516,-38.33385
JBU894,40.68654,-74.18520
CHH7976,56.20936,128.13380
SAS940,59.65561,17.93539
JAL17,35.77446,140.39238
IBE6833,-14.07344,-52.60746
MDG058,-18.81511,47.09594
DLH507,49.12024,9.00456
AFR228,-17.98164,-48.70813
SAS97C,41.64716,2.78354
CES570,31.07069,121.81514
IBE2882,52.21999,6.12038
AMX097,39.32542,-114.87036
FDX5030,54.33691,24.95924
