callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.45604,-117.70883
HBAL186,38.99327,-119.22742
HBAL117,39.07631,-120.84364
CONTROL,42.68451,23.40988
HBAL015,39.13815,-111.21281
HBAL074,-2.79253,-41.98525
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43617,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81523
YOLSUPUR,40.98268,28.82756
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.46970,-3.55757
FREN1,40.97192,28.81528
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45933,-73.78219
AMBI,22.65445,88.44402
HBAL264,-8.51363,-78.97890
MT1,-26.13008,28.23547
ELC4,25.26543,55.34585
FOLOWME1,13.20335,77.70555
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00693,174.79781
F02,41.30482,2.08366
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78770
BRD2,32.01424,34.87488
NAVETTE3,46.23218,6.10799
YELLOW3,46.23707,6.11163
DAL476,41.28503,2.07437
V7,52.29727,4.78371
SASTAU1,58.88078,5.62824
MEISTRAS,54.64003,25.28243
FDX96,35.05528,-89.95653
AIR21,25.23425,55.39432
PAPA8,40.48655,-3.58755
DAL55,31.62466,-77.67329
SER354,45.45930,-73.75775
BAW27,22.35585,114.03744
AAL125,21.60061,113.65865
EVA005,29.88827,127.87155
N,45.55690,4.89331
WT1,-26.12007,28.24457
THY24,23.79433,107.70040
TE13,47.46083,8.55728
A6EDW,25.23379,55.39518
ETD182,24.44641,54.65441
FM1,32.00519,34.87443
RA23030,43.45070,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,49.01344,42.71963
F10,41.26949,2.08261
MAS1,9.59279,96.92934
EVA029,28.88878,126.46933
UAE222,25.82785,55.94208
CAM134,45.46508,-73.75941
AAR221,37.38450,126.49367
CSN399,40.52544,-73.71146
UAL49,50.05809,-67.17628
FDX28,37.71661,-122.22141
DAAOPS2,53.42266,-6.24573
YELLOW7,46.23471,6.11111
KAL082,37.17270,124.88054
UAL83,42.54521,-73.89436
N688ZJ,51.27771,-0.78150
CQH8533,15.33527,108.34798
KAL018,37.14622,127.06035
AIC174,38.90548,66.09674
CPA831,39.62010,114.39880
CLX128,49.61799,6.20141
UAL895,47.16346,115.21098
AIC144,24.17253,74.79585
AIC126,30.69752,75.27135
