callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.45450,-117.70921
HBAL186,38.99268,-119.22978
HBAL117,39.07609,-120.84491
CONTROL,42.68451,23.40988
HBAL015,39.13559,-111.21078
HBAL074,-2.78966,-41.98518
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97214,28.81525
YOLSUPUR,40.98268,28.82756
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.46667,-3.55434
FREN1,40.97190,28.81527
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.46447,-73.78510
AMBI,22.65445,88.44402
HBAL264,-8.51012,-78.97768
MT1,-26.13008,28.23547
ELC4,25.26543,55.34585
FOLOWME1,13.20316,77.70679
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00693,174.79781
F02,41.30482,2.08366
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78770
BRD2,32.01383,34.87306
NAVETTE3,46.23218,6.10799
YELLOW3,46.23707,6.11163
DAL476,41.28503,2.07437
V7,52.28849,4.77423
SASTAU1,58.88078,5.62824
MEISTRAS,54.63933,25.28366
FDX96,35.05528,-89.95653
AIR21,25.23462,55.39364
PAPA8,40.48655,-3.58755
DAL55,31.64966,-77.74217
SER354,45.45930,-73.75775
BAW27,22.34591,114.00625
AAL125,21.63194,113.68891
EVA005,29.84844,127.81276
N,45.53307,4.89059
WT1,-26.12137,28.24418
THY24,23.79085,107.77293
TE13,47.46083,8.55728
A6EDW,25.23437,55.39407
ETD182,24.44254,54.65115
FM1,32.00519,34.87444
RA23030,43.45070,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,49.07840,42.64531
F10,41.29211,2.08376
MAS1,9.53989,96.97567
EVA029,28.83333,126.38832
UAE222,25.84698,55.94731
00000000,48.12482,16.52699
CAM134,45.46508,-73.75941
AAR221,37.38450,126.49367
CSN399,40.48811,-73.73180
UAL49,50.00006,-67.23994
FDX28,37.71661,-122.22140
DAAOPS2,53.42615,-6.24387
YELLOW7,46.23471,6.11111
KAL082,37.15678,124.97736
UAL83,42.49465,-73.91678
N688ZJ,51.27771,-0.78148
CQH8533,15.26899,108.32284
KAL018,37.16377,127.00375
AIC174,38.83296,66.13262
CPA831,39.59203,114.41107
CLX128,49.61813,6.20141
UAL895,47.11112,115.20693
AIC144,24.10098,74.76833
AIC126,30.66265,75.27321
SIA31,13.87098,122.42480
CES590,31.14432,121.79567
VPBCB,55.97910,37.39665
AIB244TE,53.53863,9.82248
UAE409,24.28290,56.85140
ACA43,50.72942,-72.10773
UAL179,37.24798,114.81824
CRK350,22.30779,113.92067
SQB02ERA,31.52498,74.39957
AFR274,37.15810,140.31891
CRK081,24.62986,113.84044
CAL5173,26.21919,122.85083
QTR914,-34.93869,138.53880
F08,41.29127,2.07437
ACA031,40.31369,116.53259
GIA088,52.30185,4.76937
FDX41,35.06113,-89.95820
AIC102,31.32928,72.82117
CES586,32.60074,123.37032
CES768,36.66156,120.28019
A6EOT,25.23916,55.40044
AAR201,37.43977,126.47901
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.13310,116.60595
CSN432,39.28897,122.35248
TUG2,25.26218,55.36415
AFR393,47.90975,0.14071
VJT726,42.34387,-73.97813
DLH778,1.65605,104.10715
CCA967,45.59601,9.43032
CCA880,44.36682,123.74425
SIA319,2.63062,101.62103
UAE415,19.85587,68.79561
JAS27,41.94239,-72.67609
TAM8063,-23.36385,-46.59332
CSN330,25.76953,113.81936
SIA325,1.36071,103.98624
AZA680,-27.85048,-50.87872
CPA879,27.21899,128.49973
AFR460,-19.70677,56.99496
DLH510,-25.36784,-52.93945
UAL198,33.17679,129.09880
AAR211,37.38080,126.53134
CKK222,33.29974,129.48465
CPA807,50.39731,116.45978
FWZNF,43.62062,1.36414
DAL159,40.63382,123.42153
AZA688,-23.68531,-55.81386
CES208,47.22610,126.51031
DLH506,-23.43597,-46.47751
UAL853,40.02324,111.93811
DLH511,46.51271,6.84373
ARG1140,5.54212,-22.70719
CES582,31.14686,121.79843
DLH455,52.46474,4.32861
UAL123,54.27405,-17.88282
THA917,13.70997,100.76603
DAL185,33.68129,130.41544
AFR102,23.70100,108.51844
RANGER4,42.68914,23.39983
OH4,52.29919,4.75384
BAW2063,-20.34151,57.49925
CAL5235,29.11913,126.79142
CHH7962,50.98825,127.57881
CES588,55.43999,127.44590
UPS2,22.29995,113.92491
FDX1977,39.68532,-74.76080
SWR92,-22.09767,-43.15025
UAL857,32.43564,127.09612
DLH520,23.42812,-98.33902
TU014,47.45414,8.55907
DLH730,22.30948,113.92774
CCA818,52.31010,135.81943
CPA3281,22.27199,114.71044
