callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.47633,-117.70115
HBAL186,39.00151,-119.19110
HBAL117,39.07450,-120.82147
CONTROL,42.68450,23.40989
HBAL015,39.17073,-111.23999
HBAL074,-2.83350,-41.98458
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43616,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81525
YOLSUPUR,40.98273,28.82755
FREN2,40.97188,28.81527
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81529
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.45062,-73.74699
AFR990,-25.98797,28.30274
ORION1,47.45345,8.56175
AMBI,22.65430,88.44395
HBAL264,-8.55444,-78.98412
F12,41.30558,2.08814
MT1,-26.13008,28.23547
ELC4,25.25518,55.36407
FUEL954,58.88203,5.63184
ELEC10,25.27143,55.34612
FUEL911,58.88353,5.61790
AP12,-37.00700,174.79742
FOLOWME5,13.19982,77.70407
F02,41.29969,2.07423
DMGR,31.98721,34.89622
FOLOWME3,13.20332,77.70555
DTD2TEG,8.98060,38.78770
HERON1,46.23812,6.11364
BRD2,32.01041,34.87654
NAVETTE3,46.23503,6.10969
YELLOW3,46.23698,6.11156
DAL476,41.30636,2.10557
V7,52.31417,4.74372
SASTAU1,58.88469,5.62775
TJ08,47.45337,8.55706
MEISTRAS,54.64276,25.29075
FDX96,35.05528,-89.95653
AIR21,25.23570,55.39809
PAPA8,40.49637,-3.59213
DAL55,31.28815,-76.65204
KF,52.31335,4.76084
BAW27,22.26244,114.41895
HAUKKA1,60.31598,24.90601
AAL125,21.65214,113.38979
EVA005,30.46248,128.72769
N,45.92230,4.93574
THY24,23.84378,106.64191
TE13,47.46109,8.55857
A6EDW,25.23631,55.39786
ETD182,24.66096,54.44382
MAGELAN4,46.22696,6.09949
FM1,32.00514,34.87495
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,48.14790,43.68851
F10,41.29398,2.08210
MAS1,9.40524,95.73633
EVA029,29.50206,127.31911
UAE222,26.27664,56.01820
FAUNA5,40.47953,-3.54629
00000000,48.10723,16.57222
CAM134,45.46508,-73.75939
AAR221,37.15860,126.37132
CSN399,40.94778,-74.43469
UAL49,50.85096,-66.14342
FDX28,37.71661,-122.22140
DAAOPS2,53.42357,-6.24186
YELLOW7,46.22972,6.10200
KAL082,37.43481,123.65930
UAL83,43.38496,-73.67106
AAL150,49.00177,2.56121
00000000,48.11799,16.56617
N688ZJ,51.27748,-0.78056
CQH8533,16.23399,108.67507
AIRPORT1,46.22893,6.10397
KAL018,36.85693,127.93006
AIC174,39.94762,65.57190
CPA831,40.62353,113.91979
CLX128,49.61961,6.20148
UAL895,48.15138,115.28781
AIC144,25.14868,75.14571
SIA52,53.36184,-2.28055
AIC126,31.37514,74.40326
SIA31,14.58435,123.34769
CES590,31.15762,121.80895
ETD278,10.18790,68.90074
VPBCB,55.97865,37.39661
AIB244TE,53.53862,9.82248
UAE409,23.63513,57.76305
ACA43,51.64479,-70.95374
CPA3123,22.30235,113.92634
UAL179,38.35657,114.69019
CRK350,22.32591,113.94450
SQB02ERA,31.52493,74.39964
BAW33,2.74665,101.71623
AFR274,37.76143,139.45718
CRK081,25.79031,113.75759
AFR256,1.35914,103.98371
CAL5173,26.87959,123.71873
QTR914,-34.97685,138.49051
F08,41.29045,2.07016
ACA031,40.37862,115.79596
GIA088,52.30610,4.57753
FDX41,35.06113,-89.95818
P14,40.50953,-3.57926
AIC102,31.59426,71.58961
CES586,33.70784,123.36481
CES768,36.79628,120.62880
AAR201,37.27625,126.63864
LIGHT,42.69213,23.42000
FDX12,37.71889,-122.21667
CHH496,40.32271,116.86207
CSN432,40.30989,122.71735
TUG2,25.26228,55.36398
AFR393,47.33376,-1.10237
VJT726,43.16364,-73.57014
DLH778,2.09056,104.12111
CCA967,46.14070,10.31268
CCA880,44.99536,124.97169
SIA319,3.37074,100.87735
UAE415,19.33398,69.88308
JAS27,41.94247,-72.67607
TAM8063,-22.72417,-46.28355
CSN330,26.84299,113.65978
SIA325,1.47031,104.02869
AZA680,-27.14992,-50.29921
CPA879,27.86632,129.44652
AFR460,-18.82544,56.42377
DLH510,-24.42442,-52.48397
UAL198,33.53783,130.17117
KAL024,37.44293,126.47613
AAR211,37.14426,127.07002
CKK222,33.70312,130.45464
CPA807,51.29521,117.29546
FWZNF,43.62062,1.36414
DAL159,41.52164,124.09707
AZA688,-22.98326,-55.06450
CES208,48.34035,126.72321
DLH506,-23.36778,-46.65512
UAL853,40.97836,112.17627
DLH511,45.71114,5.54689
ARG1140,4.68165,-23.31213
CES582,31.14345,121.79827
DLH455,53.06035,2.79922
RYR21GH,37.78195,-0.80349
UAL123,54.18952,-16.30639
THA917,14.01674,100.84659
DAL185,33.93233,131.49155
AFR102,24.54991,108.07358
RANGER4,42.68914,23.39983
OH4,52.29918,4.75384
BAW59,-33.96711,18.59733
AZA674,-23.43679,-46.47874
BAW2063,-20.25948,56.96995
CAL5235,29.80289,127.74534
CHH7962,52.19032,127.06430
CES588,56.42244,128.33279
UPS2,22.30048,113.91682
FDX1977,40.49430,-74.25198
SWR92,-21.59502,-42.34741
UAL857,32.74217,128.19370
DLH520,24.47498,-97.97867
TU014,47.45422,8.55771
DLH730,22.31417,113.91906
CCA818,53.18705,136.84764
CPA3281,22.24987,114.88068
UAE208,33.94716,48.55744
PAL101,15.12703,122.09019
CMP362,21.09543,-97.78849
MSR986,35.86070,26.34047
SWR138,21.41185,113.48392
VIR206,22.38169,114.11888
EVA068,14.32012,100.39789
JAL65,35.77247,140.39633
BAW251,-18.23083,-56.01839
BAW15,14.00766,98.25717
BAW245,-20.08291,-50.26974
CHH7978,40.08168,116.57704
FIN81,1.44217,104.01723
CES710,38.66750,112.40149
ZEBRA7,47.45548,8.56134
AMX004,26.07247,-97.39422
SWR178,4.32770,100.71605
CCA982,58.79620,130.58408
IBE6051,-26.15902,28.24869
UAL871,32.38909,132.47224
SIA321,12.89168,98.84277
FMS,52.37069,13.52133
CPA254,22.61087,113.61372
SHT7J,51.67052,-0.56839
AIC191,59.38789,-36.34167
AIC103,66.85609,-62.34785
KLM394,51.39763,4.03740
P21,40.46719,-3.56875
ETH684,31.14402,121.81012
SVA038,26.69316,35.92084
CSN336,15.98827,118.11830
CHH498,50.63012,127.48654
UAL869,47.34581,115.22662
DAL469,45.73232,-70.07780
AEA039,5.58278,-79.43197
ACA82,32.17770,34.56153
TAM8085,-21.01108,-45.18260
ANA111,53.19960,147.92270
KLM592,52.31504,4.77392
UAL194,48.45538,11.26930
FDX5170,52.02050,18.35588
AFL2450,49.55719,4.61530
FOLLOW1,50.10640,14.25827
CCA988,45.93539,127.31567
THY1RD,45.91122,18.93735
CHH482,58.79893,130.85060
KAL020,37.13063,124.70834
SVA020,27.66632,30.52463
ANZ99,35.64175,140.49591
CPA837,34.88622,137.28285
TAM8101,-22.94704,-46.28026
SWR93,43.78995,6.17566
ROU1955,35.76906,138.26471
VHTGG,-36.78722,146.98523
AMX022,21.41799,-96.68594
AMX008,24.94278,-97.81564
BAW247,-11.32416,-38.11576
JBU894,40.68654,-74.18518
CHH7976,56.58293,128.48178
SAS940,59.65740,17.94936
JAL17,35.77446,140.39238
IBE6833,-13.74131,-52.34348
MDG058,-18.71136,47.21227
DLH507,48.71357,9.00156
AFR228,-17.64212,-48.47582
SAS97C,41.86093,2.75495
CES570,30.92867,121.86859
IBE2882,51.97755,5.56465
AMX097,39.68425,-115.18390
FDX5030,54.39148,25.66148
ELY027,45.27965,-70.32885
AMX026,23.83991,-98.19798
AIC127,73.06453,-62.88231
QTR8163,26.13624,-98.21244
AFR188,25.65270,107.67757
BOX571,51.96474,16.83365
AFR442,-19.55618,-43.37912
CCA986,45.03268,124.92371
BAW161,30.99788,121.68726
MPH8341,-24.68326,26.92449
AFR454,-17.77239,-45.22551
TOM45X,42.00227,18.44138
AIC101,59.15438,-38.43567
SER338,45.46758,-73.73589
CLX766,-16.54187,-44.57399
CSN304,25.17572,113.76841
SAA210,5.64684,-1.37217
CES2856,51.67451,135.10577
QFA10,-26.91748,117.61614
IBE6409,21.89586,-93.33337
AAL722,53.42371,-6.24118
DAL420,5.60769,-0.16623
KAL072,37.83998,122.80412
UAL990,50.24455,0.70977
AFR406,-15.72249,-47.73993
UAL970,45.91108,3.30819
VPCWW,31.93144,-14.81050
AAR271,37.71387,137.61827
UAL955,67.13445,-99.82011
RYR3717,47.43102,19.25039
ELY006,57.25646,9.86005
UAE425,23.39040,58.12062
KAL122,35.48904,128.82123
AEA041,-22.09490,-46.40315
ELY001,45.66533,-67.70908
IBE6314,41.37328,-9.69312
AAL904,25.70973,-80.33183
SVA042,49.27010,-3.40157
UAL952,48.35396,11.79462
LAN704,25.27904,-19.30832
AIC173,54.87071,172.80379
AFR083,51.58864,-2.67569
IBE6586,40.02525,-4.35657
AAL834,27.97696,-82.53884
UAE761,-25.47241,28.74490
CSN660,47.00468,130.59421
FDX14,35.06494,-89.98022
JAL772,35.76836,140.39293
AEA075,-1.89590,-72.48381
AEA024,34.24806,-10.51123
CFG059,56.24493,-11.11396
RYR8BY,51.15285,-0.15626
AFR065,52.33255,-1.46324
IBS3932,40.49464,-3.58752
THY60,5.83081,99.83347
PAL721,34.04457,113.93007
UAE440,-26.17698,116.81261
AEA025,-10.61168,-54.70276
THY52,37.08407,124.43730
ETD76T,24.43421,54.64410
AUA82,56.91444,5.72202
ACA093,36.65030,-78.08247
AAL786,49.00570,2.56162
AFR459,43.22388,-1.93921
AEA057,-19.32751,-44.27299
THY26,31.64561,118.55599
THY72,22.97400,113.16004
T7SKA,53.46022,-3.26011
UAE231,59.05750,-39.26226
N866AB,47.19131,-9.58071
THY70,23.52094,111.05677
UAE356,-3.20913,106.00689
DLH457,54.08774,-0.55513
QTR890,31.67614,117.99728
CPA110,22.31297,113.93305
FDX108,35.06163,-89.98149
IBE6827,-18.09677,-42.85044
UAE414,-24.88664,113.69005
LPE2485,0.23462,-64.33767
GES031,40.14693,-3.55841
BAW282,56.15085,-9.47096
THY68,13.67822,100.75559
DLH481,49.31153,9.94913
VIR8E,56.00679,-7.40878
RKS32,40.20386,144.73694
EDW15J,47.92911,6.37637
MSR958,23.32993,113.27079
AAL187,59.07907,147.70047
HAL451,-29.03095,157.25330
FDX855,35.06223,-89.98366
FDX601,35.06449,-89.98334
PAPA3,40.49855,-3.58134
N152QS,45.76451,-104.23814
JBU464,40.64541,-73.77188
UAE318,35.85719,140.64674
TSC692,37.93155,23.94596
VIR44B,51.46154,-0.98450
FDX619,35.06553,-89.97462
THY800,26.66069,-48.34509
FOLOWME2,19.09482,72.86712
TAP087,-20.45016,-46.57928
ANA109,63.15487,163.78854
UAE408,-22.17001,109.62222
CPA823,65.08619,94.76603
AAL215,-10.11571,-58.98183
SWR197,51.67531,19.27216
JBU1124,40.64551,-73.77432
FDX583,35.06108,-89.97449
KV3,52.31775,4.74106
THY38R,-25.81206,28.77762
QTR740,67.76139,-52.93435
UAL972,50.97698,3.60565
