callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.45711,-117.70852
HBAL186,38.99368,-119.22578
HBAL117,39.07645,-120.84280
CONTROL,42.68450,23.40989
HBAL015,39.13982,-111.21411
HBAL074,-2.79437,-41.98518
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81523
YOLSUPUR,40.98268,28.82756
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47116,-3.55833
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45277,-73.78155
AMBI,22.65445,88.44402
HBAL264,-8.51436,-78.97919
MT1,-26.13008,28.23547
ELC4,25.26543,55.34585
FOLOWME1,13.20336,77.70557
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00709,174.79718
F02,41.30482,2.08366
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78770
BRD2,32.01439,34.87586
NAVETTE3,46.23218,6.10799
YELLOW3,46.23707,6.11163
DAL476,41.28503,2.07437
V7,52.29727,4.78371
SASTAU1,58.88078,5.62824
MEISTRAS,54.63969,25.28182
FDX96,35.05528,-89.95654
AIR21,25.23397,55.39482
PAPA8,40.48655,-3.58755
DAL55,31.60715,-77.62517
SER354,45.45930,-73.75775
BAW27,22.35722,114.04173
AAL125,21.57994,113.63863
EVA005,29.91483,127.91076
N,45.57610,4.89548
THY24,23.79667,107.65115
TE13,47.46083,8.55728
A6EDW,25.23335,55.39638
ETD182,24.44718,54.65506
FM1,32.00513,34.87467
RA23030,43.45070,39.93543
8Z151,-4.38829,15.44619
TU012,47.45424,8.55557
UAE179,48.93379,42.75212
F10,41.26949,2.08261
MAS1,9.62155,96.90440
EVA029,28.88878,126.46933
UAE222,25.79713,55.92580
CAM134,45.46508,-73.75941
AAR221,37.38450,126.49367
CSN399,40.55105,-73.70247
UAL49,50.09834,-67.13217
FDX28,37.71661,-122.22140
DAAOPS2,53.42266,-6.24573
YELLOW7,46.23470,6.11111
KAL082,37.16174,124.82538
UAL83,42.58003,-73.87859
N688ZJ,51.27771,-0.78148
CQH8533,15.37143,108.36153
KAL018,37.13696,127.08949
AIC174,38.98723,66.05614
CPA831,39.65863,114.38200
CLX128,49.61794,6.20140
UAL895,47.21580,115.21502
AIC144,24.21094,74.81059
AIC126,30.74336,75.25947
SIA31,13.94728,122.52295
CES590,31.14396,121.79807
VPBCB,55.97730,37.39619
AIB244TE,53.53862,9.82248
UAE409,24.21820,56.94338
ACA43,50.82811,-71.98561
UAL179,37.35840,114.80582
CRK350,22.30781,113.92089
SQB02ERA,31.52498,74.39957
AFR274,37.22539,140.24644
CRK081,24.74625,113.83875
CAL5173,26.28754,122.94203
QTR914,-34.93869,138.53880
F08,41.29127,2.07437
ACA031,40.35146,116.48962
GIA088,52.28691,4.73160
FDX41,35.06113,-89.95818
AIC102,31.31213,72.67757
CES586,32.71655,123.36982
CES768,36.67404,120.32858
A6EOT,25.23915,55.40044
AAR201,37.43977,126.47901
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.17357,116.59973
CSN432,39.41991,122.33897
TUG2,25.26217,55.36415
AFR393,47.84020,0.01387
VJT726,42.43074,-73.93556
DLH778,1.69725,104.13312
CCA967,45.65522,9.51100
CCA880,44.46035,123.92461
SIA319,2.70763,101.54360
UAE415,19.80335,68.90520
JAS27,41.94234,-72.67619
TAM8063,-23.34499,-46.51651
CSN330,25.96296,113.64034
SIA325,1.36071,103.98624
AZA680,-27.78312,-50.81235
CPA879,27.29027,128.60284
AFR460,-19.62282,56.94032
DLH510,-25.28398,-52.89861
UAL198,33.21359,129.21906
AAR211,37.34962,126.55940
CKK222,33.33191,129.59097
CPA807,50.50010,116.55611
FWZNF,43.62062,1.36413
DAL159,40.71421,123.50924
AZA688,-23.61639,-55.73975
CES208,47.34521,126.52947
DLH506,-23.43597,-46.47751
UAL853,40.13413,111.91161
DLH511,46.43033,6.70635
ARG1140,5.45553,-22.76810
CES582,31.14686,121.79843
DLH455,52.52884,4.16840
UAL123,54.26577,-17.72030
THA917,13.70997,100.76603
DAL185,33.70912,130.52856
AFR102,23.74741,108.41446
RANGER4,42.68914,23.39983
OH4,52.29919,4.75384
BAW2063,-20.32452,57.46320
CAL5235,29.22306,126.94254
CHH7962,51.10176,127.60843
CES588,55.54619,127.53720
UPS2,22.30064,113.92448
FDX1977,39.77363,-74.69482
SWR92,-22.04374,-43.06356
UAL857,32.46721,127.21004
DLH520,23.53606,-98.30207
TU014,47.45414,8.55907
DLH730,22.30948,113.92774
CCA818,52.40208,135.92482
CPA3281,22.26463,114.78546
UAE208,33.10332,49.21836
PAL101,14.78769,121.52091
CMP362,20.40478,-97.09393
ST5110,53.63150,9.99899
MSR986,35.10020,27.21474
SWR138,21.80191,113.90510
VIR206,22.31294,113.91283
EVA068,13.97305,100.68648
BAW251,-18.95297,-56.63845
BAW15,13.13825,98.71303
BAW245,-20.83246,-50.73746
FIN81,1.36594,103.99377
CES710,37.70368,112.63458
ZEBRA7,47.45677,8.55117
AMX004,25.11461,-97.75543
SWR178,3.37532,100.73867
CCA982,57.84646,129.71027
IBE6051,-26.13931,28.24020
UAL871,31.98972,131.54216
SIA321,12.05507,99.28258
FMS,52.37069,13.52133
CPA254,21.81736,113.46960
SHT7J,51.56538,-0.03311
AIC191,59.21857,-38.12685
AIC103,66.02555,-63.30123
KLM394,51.99233,4.27094
ETH684,31.15384,121.81033
SVA038,26.60582,36.93736
CSN336,16.69184,117.50945
CHH498,49.64337,127.17954
UAL869,46.46788,114.01831
DAL469,44.88615,-70.61541
AEA039,4.63898,-79.69026
ACA82,31.92595,34.98283
TAM8085,-21.31413,-46.07707
ANA111,52.27406,147.32231
KLM592,52.31503,4.77391
UAL194,48.27768,12.03109
FDX5170,52.12299,16.90086
AFL2450,49.39883,3.55464
FOLLOW1,50.11015,14.26855
CCA988,45.56937,126.14073
THY1RD,45.30872,19.92259
CHH482,57.96350,129.82925
KAL020,37.23106,125.81561
SVA020,27.11295,31.25383
ANZ99,35.80220,140.37769
CPA837,34.32092,136.47691
TAM8101,-23.43956,-46.69785
SWR93,44.71580,6.63829
ROU1955,35.46154,137.50436
VHTGG,-37.28059,146.09590
AMX022,21.09064,-97.68449
AMX008,23.95876,-98.15710
BAW247,-12.02852,-38.61443
JBU894,40.68655,-74.18518
CHH7976,55.70888,127.67787
SAS940,59.65403,17.93565
IBE6833,-14.49371,-52.94341
MDG058,-18.75746,47.21424
DLH507,49.57457,8.85426
AFR228,-18.43073,-49.01715
SAS97C,41.46721,2.57867
CES570,31.15050,121.78705
IBE2882,52.51898,6.82267
AMX097,38.96635,-114.30672
FDX5030,54.25798,24.06830
ELY027,44.64043,-71.13235
AMX026,22.85395,-98.52470
AIC127,72.33685,-64.79565
QTR8163,25.14597,-98.36268
AFR188,24.82237,108.04041
BOX571,51.72173,15.47195
AFR442,-20.35172,-43.66114
CCA986,44.46245,123.81036
BAW161,30.86531,121.89245
MPH8341,-25.51118,27.33906
AFR454,-18.55522,-45.62740
TOM45X,41.29184,19.18573
AIC101,58.93908,-40.14374
SER338,45.46163,-73.73936
CLX766,-17.38710,-45.01614
CSN304,24.32363,113.69737
SAA210,5.73742,-0.67874
CES2856,50.88574,134.25461
QFA10,-27.31133,118.89840
IBE6409,21.88605,-94.32806
AAL722,53.42410,-6.24165
DAL420,5.60808,-0.16968
KAL072,37.17205,123.78362
UAL990,49.48391,1.40603
AFR406,-16.32971,-48.46566
UAL970,45.68619,4.75346
VPCWW,32.72567,-14.17915
AAR271,37.31488,136.74396
UAL955,66.35536,-101.18278
RYR3717,47.43364,19.25553
ELY006,56.67488,11.25638
UAE425,23.97459,57.28815
AZG785,50.51188,-79.51422
KAL122,36.21080,128.27742
AEA041,-22.76279,-46.93248
ELY001,44.97039,-68.54477
IBE6314,41.42596,-8.42214
AAL904,25.78603,-80.31643
SVA042,49.12453,-1.94675
LAN704,26.13461,-18.69947
AIC173,54.68175,174.93971
AFR083,51.30657,-1.17676
IBE6586,40.18103,-3.50964
AAL834,27.97697,-82.53884
UAE761,-26.04276,28.54285
CSN660,46.55880,129.47525
FDX14,35.06494,-89.98023
AEA075,-2.61582,-73.15772
AEA024,35.03009,-9.81146
CFG059,55.84304,-9.53347
RYR8BY,51.14886,-0.20490
AFR065,51.49823,-0.60570
IBS3932,40.49463,-3.58752
THY60,5.42523,100.61047
PAL721,33.06498,114.23595
UAE440,-26.66478,118.05903
AEA025,-11.20775,-55.39600
THY52,37.16084,125.80910
ETD76T,24.42890,54.64865
AUA82,56.19273,6.86904
ACA093,37.62664,-78.13631
AFR459,44.13608,-1.36649
AEA057,-20.04378,-44.80092
THY26,31.61335,119.81722
THY72,23.33110,113.27113
T7SKA,52.80942,-2.00289
UAE231,58.81084,-40.93012
N866AB,47.00386,-8.18104
THY70,23.50113,111.97195
UAE356,-4.20950,106.37987
DLH457,53.53377,0.78003
QTR890,31.54314,119.01215
FDX108,35.06163,-89.98149
IBE6827,-18.79793,-43.38086
UAE414,-25.28848,114.92969
LPE2485,-0.39408,-64.98866
GES031,40.45222,-3.54284
BAW282,55.54633,-7.98889
DLH481,48.84489,10.71427
VIR8E,55.18731,-6.27594
RKS32,39.57271,143.99268
EDW15J,47.64896,7.43950
MSR958,23.39965,113.28964
AAL187,58.62601,146.27357
HAL451,-29.67184,156.77490
FDX855,35.06223,-89.98366
FDX601,35.06448,-89.98335
N152QS,45.05945,-105.13849
JBU464,40.64542,-73.77188
UAE318,35.63718,140.46710
VIR44B,51.00384,-0.46448
FDX619,35.06553,-89.97462
FOLOWME2,19.09156,72.87206
TAP087,-21.32181,-46.47312
ANA109,62.39334,162.41824
UAE408,-24.27328,110.93832
CPA823,64.24975,95.70979
AAL215,-10.76289,-58.25230
SWR197,51.45377,17.95540
JBU1124,40.64553,-73.77433
FDX583,35.06108,-89.97451
KV3,52.31776,4.74107
THY38R,-25.97112,28.32835
QTR740,67.96765,-50.23311
UAL972,51.05681,4.50202
BAW166,46.53387,18.67843
NAX7088,64.43393,7.25727
SIA298,-2.48460,111.29926
KLM792,45.05396,-5.26828
TJS29,46.22526,6.08957
TCX2735,53.47252,-2.90667
THY84,23.41880,110.57317
UAE221,72.36418,-43.99923
QTR1369,-28.50806,22.24024
AAL742,41.29131,2.08260
UAE219,59.07696,-33.77460
