callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.46974,-117.70428
HBAL186,38.99932,-119.20392
HBAL117,39.07613,-120.82953
CONTROL,42.68451,23.40988
HBAL015,39.15988,-111.23029
HBAL074,-2.81895,-41.98476
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43618,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81527
YOLSUPUR,40.98273,28.82755
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.44993,-73.75089
AFR990,-26.10915,28.26534
ORION1,47.45345,8.56175
AMBI,22.65445,88.44401
HBAL264,-8.53926,-78.98431
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88418,5.62928
ELEC10,25.27142,55.34613
FUEL911,58.88354,5.61781
AP12,-37.00524,174.80374
F02,41.30117,2.07819
DMGR,31.99341,34.89818
FOLOWME3,13.20180,77.70842
DTD2TEG,8.98061,38.78770
HERON1,46.23812,6.11364
BRD2,32.01075,34.88184
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11163
DAL476,41.29259,2.08445
V7,52.31085,4.80194
SASTAU1,58.88316,5.62997
TJ08,47.45337,8.55706
MEISTRAS,54.62420,25.27846
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39809
PAPA8,40.49310,-3.58694
DAL55,31.37018,-76.96989
SER354,45.45882,-73.75836
BAW27,22.38278,114.29550
HAUKKA1,60.31598,24.90601
AAL125,21.39438,113.35821
EVA005,30.24387,128.40022
N,45.79124,4.92040
THY24,23.82600,107.01080
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.52776,54.54987
MAGELAN4,46.22887,6.10260
FM1,32.00510,34.87463
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45423,8.55557
UAE179,48.45744,43.34599
F10,41.29316,2.08024
MAS1,9.15346,95.97424
EVA029,29.31360,127.03376
UAE222,26.03334,55.92248
CAM134,45.46508,-73.75939
AAR221,37.20030,126.57705
CSN399,40.82684,-74.06665
UAL49,50.61974,-66.49497
FDX28,37.71661,-122.22139
DAAOPS2,53.42366,-6.24204
YELLOW7,46.22972,6.10200
KAL082,37.10156,124.03944
UAL83,43.06380,-73.73762
00000000,48.11799,16.56617
N688ZJ,51.27774,-0.78157
CQH8533,15.91411,108.56111
AIRPORT1,46.22893,6.10397
KAL018,36.97016,127.61438
AIC174,39.57778,65.76062
CPA831,40.27848,114.10944
CLX128,49.61758,6.20140
UAL895,47.81117,115.26119
AIC144,24.79451,75.03584
SIA52,53.36184,-2.28055
AIC126,31.17581,74.76105
SIA31,14.34791,123.04076
CES590,31.15762,121.80895
VPBCB,55.97878,37.39635
AIB244TE,53.53864,9.82250
UAE409,23.86812,57.43851
ACA43,51.32776,-71.35754
CPA3123,22.30235,113.92634
UAL179,37.97680,114.73428
CRK350,22.31409,113.91344
SQB02ERA,31.52505,74.39966
BAW33,2.74665,101.71623
AFR274,37.54024,139.76520
CRK081,25.43499,113.77824
CAL5173,26.69412,123.47386
QTR914,-34.93892,138.54138
F08,41.29066,2.07258
ACA031,40.36568,116.06968
GIA088,52.21143,4.44023
FDX41,35.06113,-89.95820
