callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.45898,-117.70801
HBAL186,38.99453,-119.22253
HBAL117,39.07668,-120.84119
CONTROL,42.68451,23.40988
HBAL015,39.14280,-111.21643
HBAL074,-2.79746,-41.98496
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81523
YOLSUPUR,40.98266,28.82758
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47249,-3.55724
FREN1,40.97193,28.81529
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.45272,-73.78146
AMBI,22.65445,88.44401
HBAL264,-8.51710,-78.98015
MT1,-26.13008,28.23547
ELC4,25.26458,55.34734
FOLOWME1,13.20209,77.70570
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00709,174.79718
F02,41.30490,2.08467
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78771
BRD2,32.01466,34.87757
NAVETTE3,46.23218,6.10799
YELLOW3,46.23708,6.11164
DAL476,41.28503,2.07437
V7,52.29727,4.78371
SASTAU1,58.88078,5.62824
MEISTRAS,54.63636,25.28217
FDX96,35.05528,-89.95654
AIR21,25.23356,55.39666
PAPA8,40.48655,-3.58755
DAL55,31.57964,-77.55013
SER354,45.45930,-73.75775
BAW27,22.37325,114.09167
AAL125,21.54503,113.60474
EVA005,29.95466,127.96957
N,45.60434,4.89874
THY24,23.80083,107.56429
TE13,47.46083,8.55728
A6EDW,25.23433,55.39717
ETD182,24.44955,54.65689
FM1,32.00510,34.87463
RA23030,43.45070,39.93543
8Z151,-4.38829,15.44619
TU012,47.45423,8.55557
UAE179,48.89642,42.85297
F10,41.26949,2.08261
MAS1,9.67933,96.85362
EVA029,28.98545,126.58726
UAE222,25.76494,55.87646
CAM134,45.46508,-73.75941
AAR221,37.36543,126.51109
CSN399,40.59518,-73.71732
UAL49,50.16188,-67.06213
FDX28,37.71661,-122.22140
DAAOPS2,53.42242,-6.24534
YELLOW7,46.23470,6.11111
KAL082,37.14531,124.74264
UAL83,42.63817,-73.85159
N688ZJ,51.27771,-0.78148
CQH8533,15.44463,108.38841
KAL018,37.11438,127.16048
AIC174,39.03992,66.02998
CPA831,39.74430,114.30658
CLX128,49.61789,6.20140
UAL895,47.29431,115.22108
AIC144,24.29003,74.84099
AIC126,30.81024,75.21649
SIA31,14.00161,122.59306
CES590,31.14191,121.79884
VPBCB,55.97799,37.39654
AIB244TE,53.53863,9.82248
UAE409,24.18027,56.99707
ACA43,50.89215,-71.90604
UAL179,37.44601,114.79602
CRK350,22.30828,113.92240
SQB02ERA,31.52505,74.39966
AFR274,37.26735,140.18274
CRK081,24.82561,113.83764
CAL5173,26.33618,123.00584
QTR914,-34.93869,138.53880
F08,41.29127,2.07437
ACA031,40.35425,116.43536
GIA088,52.27551,4.70192
FDX41,35.06113,-89.95820
AIC102,31.29977,72.57673
CES586,32.79922,123.36940
CES768,36.66715,120.36814
A6EOT,25.23916,55.40045
AAR201,37.43977,126.47901
LIGHT,42.69213,23.42000
FDX12,37.71889,-122.21667
CHH496,40.18901,116.59721
CSN432,39.49626,122.33067
TUG2,25.26217,55.36415
AFR393,47.79071,-0.07629
VJT726,42.48762,-73.90765
DLH778,1.72096,104.16133
CCA967,45.68800,9.55735
CCA880,44.49997,124.00102
SIA319,2.76270,101.48825
UAE415,19.76396,68.98737
JAS27,41.94249,-72.67625
TAM8063,-23.33179,-46.47013
CSN330,26.04644,113.65174
SIA325,1.36071,103.98624
AZA680,-27.73471,-50.76550
CPA879,27.33916,128.67395
AFR460,-19.56679,56.90388
DLH510,-25.21344,-52.86433
UAL198,33.23689,129.29552
AAR211,37.32417,126.58202
CKK222,33.35706,129.67427
CPA807,50.56403,116.61445
FWZNF,43.62062,1.36413
DAL159,40.77943,123.56030
AZA688,-23.56702,-55.68679
CES208,47.42706,126.54279
DLH506,-23.43597,-46.47751
UAL853,40.23743,111.89182
DLH511,46.37054,6.60707
ARG1140,5.39059,-22.81378
CES582,31.14686,121.79843
DLH455,52.57411,4.05464
UAL123,54.25957,-17.59843
THA917,13.70997,100.76603
DAL185,33.72817,130.60901
AFR102,23.78922,108.34479
RANGER4,42.68915,23.39982
OH4,52.29919,4.75384
BAW2063,-20.31294,57.43853
CAL5235,29.26459,127.00130
CHH7962,51.18608,127.63062
CES588,55.61929,127.60054
UPS2,22.30029,113.92306
FDX1977,39.83498,-74.64935
SWR92,-22.00525,-43.00179
UAL857,32.48886,127.28864
DLH520,23.61725,-98.27447
TU014,47.45414,8.55907
DLH730,22.30948,113.92774
CCA818,52.47005,136.00313
CPA3281,22.26668,114.83871
UAE208,33.17545,49.15709
PAL101,14.81602,121.57144
CMP362,20.48154,-97.12334
ST5110,53.63150,9.99899
MSR986,35.16582,27.14027
SWR138,21.77853,113.86093
VIR206,22.31192,113.90962
EVA068,14.00059,100.62489
BAW251,-18.89984,-56.59297
BAW15,13.21083,98.67465
BAW245,-20.77184,-50.69137
FIN81,1.36649,103.99246
CES710,37.78500,112.61109
ZEBRA7,47.45677,8.55117
AMX004,25.19788,-97.72623
SWR178,3.44784,100.71868
CCA982,57.91936,129.78424
IBE6051,-26.13995,28.24261
UAL871,32.02831,131.63098
SIA321,12.12257,99.24722
FMS,52.37069,13.52133
CPA254,21.86856,113.49496
SHT7J,51.58146,-0.07706
AIC191,59.23344,-37.97764
AIC103,66.10073,-63.21880
KLM394,51.95597,4.22558
ETH684,31.15384,121.81033
SVA038,26.61546,36.86068
CSN336,16.63328,117.54333
CHH498,49.72747,127.20030
UAL869,46.54437,114.05429
DAL469,44.95242,-70.57389
AEA039,4.71448,-79.68687
ACA82,31.90663,34.95987
TAM8085,-21.28908,-45.99691
ANA111,52.35197,147.37122
KLM592,52.31504,4.77390
UAL194,48.27258,11.96165
FDX5170,52.10764,17.02638
AFL2450,49.44001,3.60233
FOLLOW1,50.11015,14.26855
CCA988,45.62552,126.26470
THY1RD,45.36607,19.83084
CHH482,58.03705,129.90436
KAL020,37.22314,125.73484
SVA020,27.15706,31.18305
ANZ99,35.80220,140.37769
CPA837,34.36672,136.54158
TAM8101,-23.41717,-46.69113
SWR93,44.63643,6.62335
ROU1955,35.45128,137.57646
VHTGG,-37.24635,146.16975
AMX022,21.12900,-97.60049
AMX008,24.04293,-98.12807
BAW247,-11.96910,-38.57191
JBU894,40.68655,-74.18518
CHH7976,55.78487,127.74387
SAS940,59.65403,17.93565
IBE6833,-14.43205,-52.89401
MDG058,-18.75134,47.17459
