callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.47537,-117.70172
HBAL186,39.00123,-119.19318
HBAL117,39.07480,-120.82268
CONTROL,42.68450,23.40989
HBAL015,39.16905,-111.23853
HBAL074,-2.83141,-41.98449
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43617,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81525
YOLSUPUR,40.98273,28.82755
FREN2,40.97188,28.81527
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47251,-3.55719
FREN1,40.97193,28.81529
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45063,-73.74699
AFR990,-26.00926,28.29617
ORION1,47.45345,8.56175
AMBI,22.65430,88.44395
HBAL264,-8.55267,-78.98431
F12,41.30558,2.08814
MT1,-26.13008,28.23547
ELC4,25.25518,55.36407
FUEL954,58.88337,5.63130
ELEC10,25.27142,55.34613
FUEL911,58.88354,5.61790
AP12,-37.00593,174.79823
F02,41.30063,2.07548
DMGR,31.98884,34.89778
FOLOWME3,13.20291,77.70518
DTD2TEG,8.98060,38.78770
HERON1,46.23812,6.11364
BRD2,32.01041,34.87653
NAVETTE3,46.23400,6.10820
YELLOW3,46.23701,6.11157
DAL476,41.30063,2.08871
SASTAU1,58.88483,5.62805
TJ08,47.45337,8.55706
MEISTRAS,54.64394,25.29186
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39809
PAPA8,40.49723,-3.59064
DAL55,31.30247,-76.71028
BAW27,22.27515,114.40943
HAUKKA1,60.31598,24.90601
AAL125,21.60423,113.36684
EVA005,30.40842,128.64635
N,45.90257,4.93346
THY24,23.83949,106.69181
TE13,47.46109,8.55857
A6EDW,25.23585,55.39812
ETD182,24.62407,54.45445
MAGELAN4,46.22887,6.10260
FM1,32.00514,34.87495
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45424,8.55557
UAE179,48.19628,43.63567
F10,41.29398,2.08209
MAS1,9.36650,95.77295
EVA029,29.47621,127.27972
UAE222,26.23956,56.00633
00000000,48.10723,16.57222
CAM134,45.46508,-73.75939
AAR221,37.16217,126.41161
CSN399,40.93167,-74.37756
UAL49,50.80692,-66.21089
FDX28,37.71661,-122.22139
DAAOPS2,53.42357,-6.24186
YELLOW7,46.22972,6.10200
KAL082,37.22396,123.69847
UAL83,43.34120,-73.68032
00000000,48.11799,16.56617
N688ZJ,51.27748,-0.78056
CQH8533,16.18603,108.65846
AIRPORT1,46.22893,6.10397
KAL018,36.88289,127.88132
AIC174,39.88973,65.60168
CPA831,40.60863,113.92885
CLX128,49.61961,6.20148
UAL895,48.09904,115.28371
AIC144,25.09436,75.13483
SIA52,53.36184,-2.28055
AIC126,31.36363,74.46948
SIA31,14.54916,123.30192
CES590,31.15762,121.80895
ETD278,10.18790,68.90074
VPBCB,55.97865,37.39661
AIB244TE,53.53862,9.82248
UAE409,23.67065,57.71455
ACA43,51.60827,-71.00308
CPA3123,22.30235,113.92634
UAL179,38.30150,114.69604
CRK350,22.32431,113.93956
SQB02ERA,31.52493,74.39964
BAW33,2.74665,101.71623
AFR274,37.71913,139.50305
CRK081,25.73565,113.76077
CAL5173,26.84926,123.67864
QTR914,-34.96473,138.50824
F08,41.29045,2.07016
ACA031,40.37713,115.83729
GIA088,52.29982,4.53720
FDX41,35.06112,-89.95818
P14,40.50953,-3.57926
AIC102,31.56600,71.65129
CES586,33.65186,123.36509
CES768,36.77240,120.64373
AAR201,37.28909,126.61391
LIGHT,42.69213,23.42000
FDX12,37.71889,-122.21667
CHH496,40.30161,116.86517
CSN432,40.26745,122.68970
TUG2,25.26228,55.36399
AFR393,47.37291,-1.05441
VJT726,43.12478,-73.58976
DLH778,2.08736,104.12212
CCA967,46.11191,10.25473
CCA880,44.96985,124.92021
SIA319,3.32579,100.92171
UAE415,19.36024,69.82845
JAS27,41.94239,-72.67616
TAM8063,-22.77266,-46.28286
CSN330,26.78830,113.67590
SIA325,1.45605,104.02270
AZA680,-27.18938,-50.32718
CPA879,27.83354,129.39798
AFR460,-18.87712,56.45707
DLH510,-24.46902,-52.50527
UAL198,33.50981,130.12723
KAL024,37.44293,126.47613
AAR211,37.15631,127.03047
CKK222,33.68202,130.40581
CPA807,51.25546,117.25777
FWZNF,43.62062,1.36413
DAL159,41.47078,124.05877
AZA688,-23.02130,-55.10477
CES208,48.28098,126.70807
DLH506,-23.38522,-46.67327
UAL853,40.94232,112.13676
DLH511,45.73943,5.58976
ARG1140,4.72494,-23.28171
CES582,31.14345,121.79827
DLH455,53.03096,2.87697
RYR21GH,37.78195,-0.80349
UAL123,54.19374,-16.37521
THA917,13.99342,100.84042
DAL185,33.91978,131.43631
AFR102,24.48895,108.08101
RANGER4,42.68914,23.39983
OH4,52.29919,4.75384
BAW59,-33.96711,18.59734
BAW2063,-20.26140,57.00466
CAL5235,29.73793,127.66684
CHH7962,52.13644,127.04403
CES588,56.37973,128.29343
UPS2,22.30081,113.91790
FDX1977,40.44999,-74.24311
SWR92,-21.62146,-42.38935
UAL857,32.73228,128.14656
DLH520,24.42121,-97.99727
TU014,47.45422,8.55771
DLH730,22.31292,113.91946
CCA818,53.14101,136.79239
CPA3281,22.21399,114.86800
UAE208,33.89731,48.59573
PAL101,15.10457,122.05742
CMP362,21.05772,-97.74456
MSR986,35.81734,26.39097
SWR138,21.41976,113.52331
VIR206,22.37282,114.09032
EVA068,14.31141,100.43282
BAW251,-18.27390,-56.05529
BAW15,13.95818,98.28244
BAW245,-20.12826,-50.29451
CHH7978,40.08168,116.57704
FIN81,1.44217,104.01723
CES710,38.61424,112.41426
ZEBRA7,47.45556,8.56156
AMX004,26.01906,-97.41722
SWR178,4.28113,100.70618
CCA982,58.75674,130.53654
IBE6051,-26.15860,28.24794
UAL871,32.36847,132.42354
SIA321,12.84427,98.86775
FMS,52.37069,13.52133
CPA254,22.56219,113.60896
SHT7J,51.66998,-0.57782
AIC191,59.37886,-36.44193
AIC103,66.81384,-62.39792
KLM394,51.43309,4.04386
P21,40.46719,-3.56875
ETH684,31.14402,121.81012
SVA038,26.68919,35.98133
CSN336,16.03152,118.08356
CHH498,50.57756,127.47318
UAL869,47.29292,115.22252
DAL469,45.67762,-70.11310
AEA039,5.53919,-79.43503
ACA82,32.16330,34.58897
TAM8085,-21.04189,-45.22522
ANA111,53.14801,147.88794
KLM592,52.31503,4.77391
UAL194,48.43039,11.30247
FDX5170,52.01514,18.27438
AFL2450,49.54988,4.54678
FOLLOW1,50.10833,14.26081
CCA988,45.91796,127.25361
THY1RD,45.87708,18.99362
CHH482,58.76046,130.80243
KAL020,37.13113,124.80843
SVA020,27.62414,30.55858
ANZ99,35.65320,140.48761
CPA837,34.85897,137.24356
TAM8101,-23.00327,-46.29054
SWR93,43.84020,6.20571
ROU1955,35.75359,138.22409
VHTGG,-36.81504,146.93716
AMX022,21.40002,-96.74494
AMX008,24.88659,-97.83527
BAW247,-11.36650,-38.14283
JBU894,40.68654,-74.18520
CHH7976,56.53775,128.43958
SAS940,59.65740,17.94936
JAL17,35.77446,140.39238
IBE6833,-13.77649,-52.37178
MDG058,-18.74130,47.21973
DLH507,48.76291,9.01633
AFR228,-17.67938,-48.50135
SAS97C,41.83310,2.77336
CES570,30.94839,121.86116
IBE2882,52.01028,5.63904
AMX097,39.64244,-115.14740
FDX5030,54.38603,25.56446
ELY027,45.24609,-70.38496
AMX026,23.78192,-98.21787
AIC127,73.02539,-62.99350
QTR8163,26.07829,-98.22135
AFR188,25.62207,107.72017
BOX571,51.95113,16.75517
AFR442,-19.60162,-43.39511
CCA986,45.01208,124.88231
BAW161,30.97842,121.71165
MPH8341,-24.72881,26.94717
AFR454,-17.82779,-45.25432
TOM45X,41.96437,18.48788
AIC101,59.14553,-38.53332
CLX766,-16.59145,-44.60013
CSN304,25.13187,113.76470
SAA210,5.65004,-1.34778
CES2856,51.62834,135.05486
QFA10,-26.93765,117.68057
IBE6409,21.87900,-93.37615
