callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.46865,-117.70471
HBAL186,38.99876,-119.20593
HBAL117,39.07632,-120.83063
CONTROL,42.68450,23.40989
HBAL015,39.15844,-111.22906
HBAL074,-2.81697,-41.98487
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81526
YOLSUPUR,40.98269,28.82758
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47251,-3.55719
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.44987,-73.75512
AFR990,-26.12358,28.26085
ORION1,47.45345,8.56175
AMBI,22.65445,88.44402
HBAL264,-8.53729,-78.98416
MT1,-26.13008,28.23547
ELC4,25.25958,55.35531
FUEL954,58.88418,5.62928
ELEC10,25.27142,55.34613
FUEL911,58.88354,5.61781
AP12,-37.00524,174.80374
F02,41.30335,2.08368
DMGR,31.99471,34.89714
FOLOWME3,13.20180,77.70842
DTD2TEG,8.98061,38.78771
HERON1,46.23812,6.11364
BRD2,32.01217,34.88284
NAVETTE3,46.23220,6.10826
YELLOW3,46.23708,6.11164
DAL476,41.29135,2.08417
V7,52.30862,4.79891
SASTAU1,58.88208,5.63035
TJ08,47.45337,8.55706
MEISTRAS,54.62410,25.27892
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39808
PAPA8,40.49107,-3.58754
DAL55,31.39625,-77.04552
SER354,45.45930,-73.75775
BAW27,22.39622,114.27729
HAUKKA1,60.31598,24.90601
AAL125,21.37418,113.38776
EVA005,30.21031,128.34937
N,45.77170,4.91810
THY24,23.82335,107.07047
TE13,47.46083,8.55728
A6EDW,25.23585,55.39812
ETD182,24.51595,54.56650
MAGELAN4,46.22887,6.10260
FM1,32.00509,34.87464
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44618
TU012,47.45422,8.55557
UAE179,48.50363,43.29472
F10,41.29245,2.07841
MAS1,9.11472,96.01082
EVA029,29.28250,126.98811
UAE222,25.99854,55.90794
CAM134,45.46508,-73.75939
AAR221,37.21661,126.58865
CSN399,40.80936,-74.01343
UAL49,50.54251,-66.61107
FDX28,37.71661,-122.22139
DAAOPS2,53.42368,-6.24205
YELLOW7,46.22972,6.10200
KAL082,37.11338,124.13732
UAL83,43.01537,-73.74777
00000000,48.11799,16.56617
N688ZJ,51.27774,-0.78157
CQH8533,15.86549,108.54319
AIRPORT1,46.22893,6.10397
KAL018,36.98616,127.56389
AIC174,39.52679,65.78625
CPA831,40.24905,114.12244
CLX128,49.61762,6.20140
UAL895,47.75883,115.25712
AIC144,24.74304,75.01587
SIA52,53.36184,-2.28055
AIC126,31.14903,74.81267
SIA31,14.31203,122.99426
CES590,31.14244,121.80751
VPBCB,55.97961,37.39590
AIB244TE,53.53863,9.82250
UAE409,23.90374,57.38828
ACA43,51.28880,-71.40727
CPA3123,22.30235,113.92634
UAL179,37.92057,114.74079
CRK350,22.31466,113.91525
SQB02ERA,31.52505,74.39966
BAW33,2.74665,101.71623
AFR274,37.51105,139.81023
CRK081,25.30321,113.83057
CAL5173,26.64685,123.41302
QTR914,-34.93910,138.54036
F08,41.29127,2.07437
ACA031,40.36382,116.10913
GIA088,52.20818,4.47273
FDX41,35.06114,-89.95818
P14,40.50953,-3.57926
AIC102,31.38752,72.03905
CES586,33.28505,123.36702
CES768,36.64183,120.62050
A6EOT,25.23918,55.40044
AAR201,37.38982,126.52376
LIGHT,42.69213,23.41999
FDX12,37.71889,-122.21667
CHH496,40.25647,116.73055
CSN432,39.96119,122.49062
TUG2,25.26221,55.36412
AFR393,47.58009,-0.68253
VJT726,42.83597,-73.73455
DLH778,1.88567,104.19048
CCA967,45.92848,9.92065
CCA880,44.75487,124.49386
SIA319,3.08482,101.16411
UAE415,19.53092,69.47313
JAS27,41.94246,-72.67621
TAM8063,-23.09401,-46.27792
CSN330,26.45052,113.70705
SIA325,1.36134,103.98270
AZA680,-27.43663,-50.50304
CPA879,27.62051,129.08455
AFR460,-19.19246,56.66059
DLH510,-24.79065,-52.65981
UAL198,33.38086,129.77243
AAR211,37.22443,126.79691
CKK222,33.49904,130.10828
CPA807,50.95082,116.97159
FWZNF,43.62062,1.36414
DAL159,41.16911,123.84094
AZA688,-23.25885,-55.35721
CES208,47.94513,126.62849
DLH506,-23.47980,-46.64291
UAL853,40.68335,111.91254
DLH511,46.02755,6.04502
ARG1140,5.00636,-23.08394
CES582,31.14473,121.79780
DLH455,52.83619,3.38575
UAL123,54.22287,-16.87772
THA917,13.83938,100.79990
DAL185,33.83684,131.07469
AFR102,24.13857,108.12342
RANGER4,42.68915,23.39982
OH4,52.29919,4.75384
BAW59,-33.96711,18.59734
BAW2063,-20.27325,57.21675
CAL5235,29.53530,127.39782
CHH7962,51.67328,127.66744
CES588,56.06342,127.99605
UPS2,22.29974,113.92106
FDX1977,40.18250,-74.39092
SWR92,-21.78784,-42.65401
UAL857,32.61250,127.74174
DLH520,24.07663,-98.11655
DLH730,22.30793,113.92563
CCA818,52.84863,136.44447
CPA3281,22.18675,115.07884
UAE208,33.58483,48.83469
PAL101,14.96864,121.84544
CMP362,20.81763,-97.46590
MSR986,35.53331,26.71967
SWR138,21.58520,113.65667
VIR206,22.32994,113.95699
EVA068,14.24707,100.65077
BAW251,-18.55554,-56.29689
BAW15,13.63376,98.45152
BAW245,-20.41718,-50.45304
FIN81,1.35990,103.98403
CES710,38.25225,112.50053
ZEBRA7,47.45551,8.56199
AMX004,25.67061,-97.55946
SWR178,3.91816,100.62989
CCA982,58.45261,130.17191
IBE6051,-26.14950,28.25077
UAL871,32.22001,132.07545
SIA321,12.53247,99.03199
FMS,52.37068,13.52133
CPA254,22.24303,113.57793
SHT7J,51.68532,-0.42386
AIC191,59.32016,-37.09298
AIC103,66.53542,-62.72564
KLM394,51.68523,4.09019
ETH684,31.15316,121.81174
SVA038,26.65502,36.32415
CSN336,16.28937,117.84289
CHH498,50.21194,127.32961
UAL869,46.94911,115.19604
DAL469,45.36460,-70.31364
AEA039,5.16115,-79.65968
ACA82,32.04250,34.78458
TAM8085,-21.15092,-45.55812
ANA111,52.81273,147.66304
KLM592,52.31503,4.77391
UAL194,48.31297,11.56290
FDX5170,52.02567,17.73586
AFL2450,49.50351,4.11594
FOLLOW1,50.11015,14.26855
CCA988,45.80772,126.87219
THY1RD,45.65248,19.36443
CHH482,58.50801,130.49767
KAL020,37.17480,125.23087
SVA020,27.38622,30.81495
ANZ99,35.73564,140.42830
CPA837,34.64301,136.93387
TAM8101,-23.21458,-46.49572
SWR93,44.18017,6.41052
ROU1955,35.63625,137.91476
VHTGG,-37.00675,146.60353
AMX022,21.33641,-97.13362
AMX008,24.52689,-97.96061
BAW247,-11.62468,-38.32637
JBU894,40.68654,-74.18520
CHH7976,56.22656,128.15010
SAS940,59.65561,17.93539
JAL17,35.77446,140.39238
IBE6833,-14.06650,-52.60191
MDG058,-18.81564,47.09996
DLH507,49.08920,9.01478
AFR228,-17.98164,-48.70813
SAS97C,41.65276,2.78420
CES570,31.06879,121.81581
IBE2882,52.21648,6.11224
AMX097,39.32835,-114.87329
FDX5030,54.33847,24.97782
ELY027,45.02709,-70.71290
AMX026,23.41045,-98.34531
AIC127,72.77129,-63.70180
QTR8163,25.71538,-98.27677
AFR188,25.40103,107.96931
BOX571,51.86245,16.24817
AFR442,-19.89852,-43.50006
CCA986,44.79153,124.44678
BAW161,30.81528,121.79824
MPH8341,-25.05809,27.11135
AFR454,-18.11990,-45.40821
TOM45X,41.71173,18.79531
AIC101,59.08712,-39.16717
CLX766,-16.90997,-44.76779
CSN304,24.77797,113.73484
SAA210,5.68729,-1.06354
CES2856,51.33641,134.73610
QFA10,-27.09009,118.17232
IBE6409,21.97182,-93.79156
AAL722,53.42413,-6.24155
DAL420,5.60929,-0.16763
KAL072,37.53540,123.19441
UAL990,49.90631,1.02281
AFR406,-15.92281,-48.09126
UAL970,45.81904,3.93297
VPCWW,32.28026,-14.53486
AAR271,37.54028,137.23502
UAL955,66.80895,-100.40230
RYR3717,47.43329,19.25605
ELY006,57.00407,10.47615
UAE425,23.64473,57.75045
AZG785,51.01697,-78.90427
KAL122,35.78010,128.61011
AEA041,-22.38432,-46.63172
ELY001,45.36699,-68.08803
IBE6314,41.39763,-9.14680
AAL904,25.73872,-80.51061
SVA042,49.21619,-2.77137
UAL952,48.35396,11.79462
LAN704,25.64658,-19.04811
AIC173,54.79413,173.72511
AFR083,51.47108,-2.01889
IBE6586,40.10480,-3.92867
AAL834,27.97692,-82.53887
UAE761,-25.81705,28.77711
CSN660,46.75992,130.17493
FDX14,35.06494,-89.98022
JAL772,35.76853,140.39247
AEA075,-2.20616,-72.62862
AEA024,34.58917,-10.20815
CFG059,56.09344,-10.42078
RYR8BY,51.14886,-0.20490
AFR065,51.97543,-1.09157
IBS3932,40.49464,-3.58752
THY60,5.57085,100.11724
PAL721,33.62012,114.06252
UAE440,-26.39397,117.36212
AEA025,-10.86772,-55.00002
THY52,37.12093,125.05317
ETD76T,24.42890,54.64865
AUA82,56.60422,6.22243
ACA093,37.05786,-78.10467
AAL786,49.00570,2.56162
AFR459,43.61386,-1.67051
AEA057,-19.63005,-44.50162
THY26,31.64543,119.14236
THY72,23.12887,113.21655
T7SKA,53.19841,-2.68333
UAE231,58.96646,-39.96747
N866AB,47.05179,-8.97273
THY70,23.69627,111.46088
UAE356,-3.66971,106.17850
DLH457,53.79628,-0.07464
QTR890,31.64416,118.45069
CPA110,22.31297,113.93305
FDX108,35.06163,-89.98149
IBE6827,-18.40871,-43.06800
UAE414,-25.05299,114.19678
LPE2485,-0.02917,-64.61081
GES031,40.30101,-3.40503
BAW282,55.89462,-8.83172
DLH481,49.09655,10.31305
VIR8E,55.65469,-6.91426
RKS32,39.92972,144.41135
EDW15J,47.80673,6.84667
MSR958,23.39965,113.28964
AAL187,58.88663,147.11975
HAL451,-29.26376,157.04045
FDX855,35.06223,-89.98366
FDX601,35.06449,-89.98335
PAPA3,40.49855,-3.58134
N152QS,45.46133,-104.62908
JBU464,40.64542,-73.77188
UAE318,35.63585,140.61911
TSC692,37.93155,23.94596
VIR44B,51.23455,-0.78316
