callsign,latitude,longitude
RMTR00,55.03681,-1.70989
HBAL188,40.45958,-117.70783
HBAL186,38.99476,-119.22168
HBAL117,39.07669,-120.84064
CONTROL,42.68450,23.40989
HBAL015,39.14368,-111.21710
HBAL074,-2.79881,-41.98487
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43617,9.28199
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97217,28.81525
YOLSUPUR,40.98267,28.82758
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39105,-70.79004
1EEJ911,-31.93778,115.95891
00000000,44.50085,26.06722
ESC725,45.45164,-73.78082
AMBI,22.65445,88.44401
HBAL264,-8.51836,-78.98057
MT1,-26.13008,28.23547
ELC4,25.26458,55.34734
FOLOWME1,13.20205,77.70557
FUEL954,58.88414,5.62937
FUEL911,58.88353,5.61777
AP12,-37.00709,174.79718
F02,41.30474,2.08497
DMGR,31.99483,34.89631
FOLOWME3,13.20339,77.70557
DTD2TEG,8.98061,38.78771
BRD2,32.01471,34.87796
NAVETTE3,46.23218,6.10799
YELLOW3,46.23708,6.11164
DAL476,41.28503,2.07437
V7,52.29727,4.78371
SASTAU1,58.88078,5.62824
MEISTRAS,54.63636,25.28217
FDX96,35.05528,-89.95654
AIR21,25.23422,55.39711
PAPA8,40.48655,-3.58755
DAL55,31.56702,-77.51582
SER354,45.45930,-73.75775
BAW27,22.37325,114.09167
AAL125,21.53609,113.59609
EVA005,29.96794,127.98920
N,45.61388,4.89990
THY24,23.80211,107.53651
TE13,47.46083,8.55728
A6EDW,25.23481,55.39748
ETD182,24.45668,54.65199
FM1,32.00509,34.87464
RA23030,43.45070,39.93543
8Z151,-4.38829,15.44619
TU012,47.45423,8.55557
UAE179,48.88129,42.87013
F10,41.29245,2.07841
MAS1,9.69851,96.83582
EVA029,28.99870,126.60664
UAE222,25.76494,55.87646
CAM134,45.46508,-73.75941
AAR221,37.36315,126.51312
CSN399,40.61157,-73.72469
UAL49,50.18555,-67.03597
FDX28,37.71661,-122.22140
DAAOPS2,53.42276,-6.24464
YELLOW7,46.23470,6.11111
KAL082,37.13983,124.71507
UAL83,42.65854,-73.84198
N688ZJ,51.27771,-0.78148
CQH8533,15.46731,108.39671
KAL018,37.10846,127.17905
AIC174,39.08615,66.00700
CPA831,39.76873,114.30769
CLX128,49.61786,6.20139
UAL895,47.32048,115.22311
AIC144,24.31600,74.85099
AIC126,30.83459,75.19102
SIA31,14.01974,122.61647
CES590,31.14129,121.79910
VPBCB,55.97799,37.39654
AIB244TE,53.53863,9.82248
UAE409,24.16434,57.01970
ACA43,50.91513,-71.87746
UAL179,37.47766,114.79240
CRK350,22.30971,113.92263
SQB02ERA,31.52505,74.39966
AFR274,37.28145,140.16136
CRK081,24.86073,113.83707
CAL5173,26.35271,123.02728
QTR914,-34.93869,138.53880
F08,41.29127,2.07437
ACA031,40.35448,116.41144
GIA088,52.27118,4.69061
FDX41,35.06113,-89.95820
AIC102,31.29460,72.53487
CES586,32.82561,123.36929
CES768,36.66487,120.38152
A6EOT,25.23915,55.40046
AAR201,37.43977,126.47901
LIGHT,42.69213,23.42000
FDX12,37.71889,-122.21667
CHH496,40.19976,116.59559
CSN432,39.52885,122.32721
TUG2,25.26218,55.36415
AFR393,47.77372,-0.10719
VJT726,42.50826,-73.89742
DLH778,1.72788,104.16947
CCA967,45.71397,9.59569
CCA880,44.51318,124.02650
SIA319,2.78057,101.47034
UAE415,19.75083,69.01476
JAS27,41.94238,-72.67617
TAM8063,-23.32718,-46.45434
CSN330,26.07010,113.65497
SIA325,1.36134,103.98270
AZA680,-27.71599,-50.74802
CPA879,27.35651,128.69904
AFR460,-19.54568,56.89010
DLH510,-25.18826,-52.85212
UAL198,33.24910,129.33577
AAR211,37.31657,126.58874
CKK222,33.36301,129.69388
CPA807,50.59213,116.64014
FWZNF,43.62062,1.36414
DAL159,40.80707,123.58044
AZA688,-23.54757,-55.66586
CES208,47.45623,126.54743
DLH506,-23.43816,-46.48533
UAL853,40.24408,111.89194
DLH511,46.35219,6.57672
ARG1140,5.36894,-22.82900
CES582,31.14686,121.79843
DLH455,52.58899,4.01707
UAL123,54.25750,-17.55781
THA917,13.70997,100.76603
DAL185,33.73595,130.64235
AFR102,23.80123,108.31872
RANGER4,42.68914,23.39983
OH4,52.29919,4.75384
BAW2063,-20.30837,57.42873
CAL5235,29.27843,127.02089
CHH7962,51.21444,127.63809
CES588,55.64758,127.62518
UPS2,22.30009,113.92248
FDX1977,39.85551,-74.63409
SWR92,-21.99284,-42.98186
UAL857,32.49646,127.31638
DLH520,23.64436,-98.26523
TU014,47.45414,8.55907
DLH730,22.30948,113.92774
CCA818,52.49304,136.02966
CPA3281,22.26766,114.85448
UAE208,33.19968,49.13641
PAL101,14.82449,121.58669
CMP362,20.50570,-97.13487
ST5110,53.63150,9.99899
MSR986,35.18784,27.11510
SWR138,21.77055,113.84588
VIR206,22.31160,113.90864
EVA068,14.00059,100.62489
BAW251,-18.88212,-56.57781
BAW15,13.23610,98.66128
BAW245,-20.75164,-50.67579
FIN81,1.36650,103.99242
CES710,37.81331,112.60437
ZEBRA7,47.45677,8.55117
AMX004,25.22543,-97.71652
SWR178,3.47108,100.71214
CCA982,57.94329,129.80850
IBE6051,-26.14079,28.24358
UAL871,32.03823,131.65388
SIA321,12.14653,99.23467
FMS,52.37069,13.52133
CPA254,21.88840,113.50484
SHT7J,51.58987,-0.10066
AIC191,59.23840,-37.92789
AIC103,66.12579,-63.19127
KLM394,51.93896,4.20433
ETH684,31.15384,121.81033
SVA038,26.61868,36.83512
CSN336,16.61375,117.55463
CHH498,49.75685,127.20766
UAL869,46.57008,114.06642
DAL469,44.97643,-70.55885
AEA039,4.73892,-79.68583
ACA82,31.90118,34.94151
TAM8085,-21.28177,-45.97361
ANA111,52.37794,147.38754
KLM592,52.31503,4.77391
UAL194,48.27141,11.94559
FDX5170,52.10280,17.06528
AFL2450,49.44818,3.62571
FOLLOW1,50.11015,14.26855
CCA988,45.62552,126.26470
THY1RD,45.37720,19.81260
CHH482,58.06112,129.92899
KAL020,37.22113,125.71462
SVA020,27.17022,31.16194
ANZ99,35.78904,140.38890
CPA837,34.38804,136.57167
TAM8101,-23.40468,-46.68456
SWR93,44.60715,6.61779
ROU1955,35.45370,137.59535
VHTGG,-37.23482,146.19484
AMX022,21.14174,-97.57248
AMX008,24.07253,-98.11781
BAW247,-11.94337,-38.55354
JBU894,40.68655,-74.18518
CHH7976,55.80994,127.76567
SAS940,59.65403,17.93565
IBE6833,-14.40921,-52.87568
MDG058,-18.74858,47.15641
DLH507,49.49029,8.88237
AFR228,-18.33879,-48.95373
SAS97C,41.48671,2.64215
CES570,31.14682,121.78844
IBE2882,52.45619,6.67282
AMX097,39.03580,-114.41920
FDX5030,54.27446,24.24666
ELY027,44.71100,-71.05615
AMX026,22.94627,-98.50272
AIC127,72.41199,-64.62841
QTR8163,25.25839,-98.34585
AFR188,25.00929,108.12289
BOX571,51.74908,15.62048
AFR442,-20.26233,-43.62926
CCA986,44.53043,123.94112
BAW161,30.82443,121.90424
MPH8341,-25.42613,27.29646
AFR454,-18.47044,-45.58743
TOM45X,41.39053,19.13625
AIC101,58.98208,-39.96499
SER338,45.46497,-73.73515
CLX766,-17.29672,-44.96895
CSN304,24.40746,113.70382
SAA210,5.72821,-0.74967
CES2856,50.97803,134.35217
QFA10,-27.26747,118.75314
IBE6409,21.92876,-94.22120
AAL722,53.42413,-6.24155
DAL420,5.60808,-0.16968
KAL072,37.23862,123.67303
UAL990,49.56636,1.33172
AFR406,-16.24667,-48.38899
UAL970,45.71323,4.59043
VPCWW,32.64912,-14.24059
AAR271,37.35770,136.83669
UAL955,66.44320,-101.03489
RYR3717,47.43364,19.25553
ELY006,56.74310,11.09679
UAE425,23.91339,57.37452
AZG785,50.60820,-79.39923
KAL122,36.13045,128.33983
AEA041,-22.68553,-46.87097
ELY001,45.04557,-68.45815
IBE6314,41.42065,-8.56834
AAL904,25.78450,-80.35395
SVA042,49.14138,-2.09449
LAN704,26.03828,-18.76859
AIC173,54.70573,174.69102
AFR083,51.34612,-1.34612
IBE6586,40.16721,-3.58618
AAL834,27.97695,-82.53884
UAE761,-26.02153,28.60145
CSN660,46.59966,129.61563
FDX14,35.06494,-89.98022
AEA075,-2.52876,-73.12074
AEA024,34.94383,-9.88947
CFG059,55.89322,-9.70476
RYR8BY,51.14886,-0.20490
AFR065,51.58360,-0.69191
IBS3932,40.49467,-3.58752
THY60,5.45901,100.52295
PAL721,33.17406,114.20154
UAE440,-26.61708,117.93517
AEA025,-11.13851,-55.31525
THY52,37.15343,125.66115
ETD76T,24.42890,54.64865
AUA82,56.27293,6.74436
ACA093,37.50677,-78.12945
AFR459,44.03279,-1.42650
AEA057,-19.95746,-44.74791
THY26,31.61911,119.68845
THY72,23.25952,113.25124
T7SKA,52.89899,-2.12143
UAE231,58.83860,-40.74333
N866AB,47.00219,-8.32246
THY70,23.57364,111.88539
UAE356,-4.10326,106.34002
DLH457,53.58096,0.62826
QTR890,31.60408,118.92475
FDX108,35.06163,-89.98149
IBE6827,-18.71526,-43.31276
UAE414,-25.24475,114.79227
LPE2485,-0.32374,-64.91582
GES031,40.43039,-3.52074
BAW282,55.61382,-8.14997
DLH481,48.89354,10.63730
VIR8E,55.28316,-6.40495
RKS32,39.63472,144.06512
EDW15J,47.68066,7.32161
MSR958,23.39965,113.28964
AAL187,58.68232,146.45355
HAL451,-29.59856,156.82990
FDX855,35.06223,-89.98367
FDX601,35.06450,-89.98334
N152QS,45.13868,-105.03894
JBU464,40.64542,-73.77188
UAE318,35.60783,140.48819
VIR44B,51.02851,-0.56053
FDX619,35.06553,-89.97462
FOLOWME2,19.09156,72.87206
TAP087,-21.22121,-46.48946
ANA109,62.47913,162.56828
UAE408,-22.68126,110.40584
CPA823,64.34394,95.60856
AAL215,-10.69217,-58.33229
SWR197,51.48226,18.11935
JBU1124,40.64552,-73.77435
FDX583,35.06108,-89.97451
KV3,52.31776,4.74107
THY38R,-25.94179,28.37919
QTR740,67.94653,-50.53973
UAL972,51.02921,4.40240
BAW166,46.45206,18.79369
NAX7088,64.48380,7.01257
SIA298,-2.52794,111.38084
KLM792,44.96429,-5.39618
TJS29,46.22526,6.08957
TCX2735,53.44208,-2.99683
THY84,23.44167,110.46178
UAE221,72.40607,-43.69943
QTR1369,-28.43385,22.30700
AAL742,41.29130,2.08260
UAE219,59.07343,-33.57681
DAL106,51.03973,-0.14290
JAL69,36.59016,154.37793
ACA007,43.59549,122.26455
UAE203,59.22589,-36.61467
LAN533,-23.39044,-74.76591
THY173,41.39080,33.93907
SVA860,13.89775,119.72101
AAL720,41.79652,12.24120
KAL138,35.33482,128.92273
CSN461,55.32326,29.28382
THY54,10.32408,100.17874
RYR3GB,44.14279,17.07190
KLM214,52.31200,4.76583
KLM749,51.64664,-0.38261
TSC154,50.90271,4.49518
DAL583,57.03204,144.11131
ETD424,14.19109,121.25501
QTR778,44.35018,16.63886
LNE1441,6.55395,-67.73792
N194WM,50.70653,15.02529
DAL2040,40.63934,-73.78084
UAE213,35.90300,-21.51941
IBE6456,36.14873,-14.96292
SAY9858,58.80199,44.77771
AIC160,51.97151,18.20694
CPA3273,32.58275,132.05959
AAR602,29.80724,131.58722
THY56,10.63193,100.02204
DAL110,28.20676,-80.84306
ELY002,36.72047,24.59049
QTR956,-5.89673,106.48457
QTR727,59.60585,-32.95983
QTR1373,-21.30161,19.41839
QTR756,46.64920,17.13929
QTR703,59.56637,-29.07445
QTR900,-19.03934,102.74577
BAW2278,56.84497,-12.52272
AFR483,40.37109,-33.62853
QTR870,31.10303,121.67859
TAM8113,-18.29731,-49.79983
BAW190,51.32126,-0.85255
CSN3074,21.28038,113.62762
CAL5321,30.79002,129.22388
AAL996,23.74718,-90.97188
VIR86Z,55.89725,-4.49682
THY166,21.13439,103.25745
TSC652,49.39407,-2.68088
ETH604,41.53790,105.75288
FDX82,35.06665,-89.98381
ANA115,41.19695,141.65863
TSC408,50.45073,0.49973
KAL054,37.22503,126.81410
RYR6CE,41.48195,0.24553
DAL589,49.12413,132.47920
OAE702,48.14731,20.60541
AIC171,51.46629,-0.47489
LAN507,-33.39513,-70.79409
AZA62J,50.11047,-26.49165
CLX779,50.84016,3.68408
ACA091,39.78000,-77.31805
CBJ462,12.33602,121.08427
DAL414,39.10529,16.49752
KLM771,51.39139,-0.87402
SVA822,-2.03191,105.67967
UAE332,14.00035,120.46923
KAL504,43.02669,117.37740
JAL1,36.70506,155.48010
EDW11,51.84283,-0.98654
QTR930,13.93437,112.32341
JBU1415,37.61371,-122.38950
QTR806,37.15407,129.88130
TCX2719,58.29057,-7.22714
UAE316,36.62592,130.96886
QTR962,-3.06573,109.33743
AAL56,51.46645,-0.46860
UAE216,76.07506,8.36285
AAL984,25.70888,-80.51554
N151QS,42.43022,-0.84774
KLM676,52.31567,4.76962
QTR946,1.28123,104.19396
AAL912,23.31727,-78.95895
KLM751,46.23484,-27.93402
N805TM,24.22779,120.60459
CAR12,-31.94843,115.95972
SIA328,39.29489,43.13770
QTR932,14.03783,118.44144
XAX215,2.57029,101.79013
THY2,43.63453,20.19287
DAL146,26.10021,-79.88867
TAP075,-15.60896,-42.06024
AAL2491,25.79787,-80.27470
CFG115,48.06696,-8.17031
QTR730,60.26485,2.25122
BAW8,71.90347,29.24787
AFL107,74.39945,8.62029
QTR1363,-24.44942,28.95514
GTI8086,22.30111,113.92039
AAL907,-33.16158,-63.99407
KLM604,61.99571,-20.06123
AAL263,68.58876,178.05858
AAL78,56.98911,-10.02334
UAE226,79.09978,25.15420
THA476,10.84355,107.17838
DLH483,51.15355,1.54739
PAL210,14.30415,121.15621
DAL444,41.79830,12.24662
EJA538,34.42276,-119.83589
AAL900,25.79777,-80.27528
AAL962,27.67790,-84.31458
JAL783,35.77099,140.39236
AAL929,-23.43628,-46.47715
ACA844,50.44281,7.82082
