callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.47386,-117.70245
HBAL186,39.00086,-119.19604
HBAL117,39.07520,-120.82458
CONTROL,42.68451,23.40988
HBAL015,39.16654,-111.23633
HBAL074,-2.82782,-41.98435
00000000,44.57016,26.07757
TTN,45.45953,9.27440
TTS,45.43617,9.28201
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97215,28.81525
YOLSUPUR,40.98273,28.82755
FREN2,40.97190,28.81528
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79402
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81530
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45062,-73.74699
AFR990,-26.03760,28.28741
ORION1,47.45345,8.56175
AMBI,22.65430,88.44395
HBAL264,-8.54951,-78.98453
F12,41.30558,2.08814
MT1,-26.13008,28.23547
ELC4,25.25518,55.36407
FUEL954,58.88300,5.63081
ELEC10,25.27142,55.34613
FUEL911,58.88352,5.61792
AP12,-37.00579,174.79948
F02,41.30117,2.07819
DMGR,31.98967,34.89899
FOLOWME3,13.20284,77.70649
DTD2TEG,8.98060,38.78771
HERON1,46.23812,6.11364
BRD2,32.01035,34.87665
NAVETTE3,46.23374,6.10781
YELLOW3,46.23708,6.11164
DAL476,41.29721,2.08209
SASTAU1,58.88493,5.62823
TJ08,47.45337,8.55706
MEISTRAS,54.64225,25.29140
FDX96,35.05528,-89.95653
AIR21,25.23568,55.39808
PAPA8,40.49576,-3.58733
DAL55,31.32193,-76.79009
BAW27,22.30411,114.38409
HAUKKA1,60.31598,24.90601
AAL125,21.54237,113.33669
EVA005,30.36584,128.58234
N,45.87318,4.92998
THY24,23.83562,106.78304
TE13,47.46109,8.55857
A6EDW,25.23585,55.39812
ETD182,24.58875,54.46850
MAGELAN4,46.22887,6.10260
FM1,32.00514,34.87495
RA23030,43.44474,39.93543
